regine;a_wood_km2;a_agri_km2;a_upland_km2;a_glacier_km2;a_urban_km2;a_sea_km2
017.B4;0.564;0.000;0.000;0.000;0.000;0.000
017.B5;6.962;0.268;0.000;0.000;0.000;0.000
017.B6;10.594;0.303;0.000;0.000;0.000;0.000
017.C;17.924;0.000;0.000;0.000;0.000;0.000
017.D11;11.760;0.000;0.000;0.000;0.000;0.000
017.D12;25.504;0.804;0.000;0.000;0.000;0.000
017.D1A;6.527;0.020;0.000;0.000;0.000;0.000
017.D1B;58.621;0.258;0.000;0.000;0.000;0.000
017.D21;4.699;0.000;0.000;0.000;0.000;0.000
017.D22;13.655;1.251;0.000;0.000;0.000;0.000
017.D2Z;167.104;2.527;1.239;0.000;0.244;0.000
017.D3;5.153;0.107;0.000;0.000;0.000;0.000
017.D4;47.392;1.025;0.096;0.000;0.868;0.000
017.D9;0.741;0.150;0.000;0.000;0.000;0.000
017.DA0;15.151;0.412;0.000;0.000;0.000;0.000
017.DAZ;91.850;0.091;2.158;0.000;0.000;0.000
017.DB0;30.774;1.463;0.123;0.000;0.000;0.000
017.DBZ;19.481;0.000;1.450;0.000;0.000;0.000
017.DC;55.342;0.132;3.826;0.000;0.000;0.000
017.E1;21.615;0.121;0.000;0.000;0.000;0.000
017.E2;3.146;0.202;0.000;0.000;0.026;0.000
017.E3;3.681;0.315;0.000;0.000;0.000;0.000
017.E4;22.401;0.421;0.369;0.000;0.046;0.000
017.F1;26.132;0.185;0.730;0.000;0.000;0.000
017.F21;7.185;0.000;0.191;0.000;0.000;0.000
017.F22;7.568;0.977;0.908;0.000;0.000;0.000
017.F2A0;29.395;0.389;2.956;0.000;0.000;0.000
017.F2AA;30.164;0.000;2.534;0.000;0.000;0.000
017.F2AB;5.669;0.000;0.433;0.000;0.000;0.000
017.F2AC;14.190;0.000;0.565;0.000;0.000;0.000
017.F2B;50.736;0.151;13.784;0.000;0.000;0.000
017.F3;2.449;0.474;0.184;0.000;0.000;0.000
017.F41;0.138;0.080;0.028;0.000;0.000;0.000
017.F42;0.038;0.046;0.000;0.000;0.000;0.000
017.F4A;18.355;0.057;6.600;0.000;0.000;0.000
017.F4B;2.808;0.000;1.858;0.000;0.000;0.000
017.F4C;4.942;0.000;1.131;0.000;0.000;0.000
017.FA0;7.396;0.052;0.264;0.000;0.000;0.000
017.FAA;4.093;0.000;0.654;0.000;0.000;0.000
017.FAB;1.951;0.000;0.970;0.000;0.000;0.000
017.FAC;4.698;0.000;0.408;0.000;0.000;0.000
017.FB111;0.318;0.000;0.000;0.000;0.000;0.000
017.FB112;0.474;0.000;0.000;0.000;0.000;0.000
017.FB12;3.029;0.000;0.173;0.000;0.000;0.000
017.FB211;0.234;0.000;0.000;0.000;0.000;0.000
017.FB212;1.135;0.000;0.000;0.000;0.000;0.000
017.FB22;0.588;0.000;0.000;0.000;0.000;0.000
017.FB2A;2.870;0.000;0.053;0.000;0.000;0.000
017.FB2B;0.364;0.000;0.033;0.000;0.000;0.000
017.FC1;2.198;0.000;0.037;0.000;0.000;0.000
017.FC21;0.766;0.000;0.000;0.000;0.000;0.000
017.FC22;1.553;0.000;0.000;0.000;0.000;0.000
017.FC2A;1.995;0.000;0.000;0.000;0.000;0.000
017.FC2B;0.679;0.000;0.000;0.000;0.000;0.000
017.FC2C;1.841;0.000;0.000;0.000;0.000;0.000
017.FC2D;0.472;0.000;0.000;0.000;0.000;0.000
017.FC3;0.983;0.000;0.000;0.000;0.000;0.000
017.FC4;0.177;0.000;0.000;0.000;0.000;0.000
017.FD;4.595;0.000;0.000;0.000;0.000;0.000
017.FE;3.024;0.000;0.000;0.000;0.000;0.000
017.G1;53.485;0.819;1.476;0.000;0.140;0.000
017.G2;14.547;0.581;0.562;0.000;0.001;0.000
017.G3;26.015;0.392;3.218;0.000;0.000;0.000
017.G41;6.350;0.335;0.000;0.000;0.000;0.000
017.G421;2.535;0.113;0.000;0.000;0.000;0.000
017.G422;18.419;0.000;6.420;0.000;0.000;0.000
017.G42A;1.931;0.000;0.000;0.000;0.000;0.000
017.G42B;1.057;0.000;0.000;0.000;0.000;0.000
017.G42C;2.348;0.000;0.045;0.000;0.000;0.000
017.G4A;6.221;0.025;0.056;0.000;0.000;0.000
017.G4B;1.367;0.000;0.000;0.000;0.000;0.000
018.11;27.844;0.246;4.729;0.000;0.000;33.000
018.12;5.710;0.000;0.000;0.000;0.000;3.260
018.1A;0.230;0.000;0.000;0.000;0.000;0.000
018.1B;12.428;0.000;0.000;0.000;0.000;0.000
018.1C;2.672;0.000;0.000;0.000;0.000;0.000
018.1D;0.064;0.000;0.000;0.000;0.000;0.000
018.2;8.770;0.000;0.000;0.000;0.000;6.170
018.31;16.430;1.260;0.160;0.000;0.000;1.960
018.3210;6.300;0.610;0.000;0.000;0.000;0.340
018.321Z;16.730;0.190;0.000;0.000;0.000;0.000
018.3220;2.420;0.000;0.000;0.000;0.000;0.980
018.322Z;8.430;0.000;0.000;0.000;0.000;0.000
018.323;19.500;0.000;0.000;0.000;0.250;9.090
018.3A1;1.200;0.000;0.000;0.000;0.000;0.000
018.3A21;2.440;0.000;0.000;0.000;0.000;0.000
018.3A22;0.160;0.000;0.000;0.000;0.000;0.000
018.3A2Z;61.060;0.000;0.000;0.000;0.000;0.000
018.3B10;3.230;0.300;0.000;0.000;0.000;0.000
018.3B1A;0.500;0.000;0.000;0.000;0.000;0.000
018.3B1B;0.373;0.000;0.000;0.000;0.000;0.000
018.3B2;0.160;0.360;0.000;0.000;0.000;0.000
018.3C;25.690;0.310;0.000;0.000;0.000;0.000
018.3D;67.150;0.340;0.000;0.000;0.000;0.000
018.3E10;0.030;0.780;0.000;0.000;0.000;0.000
018.3E1Z;10.789;0.000;0.000;0.000;0.000;0.000
018.3E2;1.900;1.000;0.000;0.000;0.000;0.000
018.3E3;11.740;1.340;0.000;0.000;0.000;0.000
018.3E4;14.810;3.090;1.010;0.000;0.000;0.000
018.3E5;2.730;0.170;0.000;0.000;0.000;0.000
018.3E6;1.210;0.240;0.000;0.000;0.000;0.000
018.3E7;0.220;0.000;0.000;0.000;0.000;0.000
018.3E8;0.680;0.000;0.000;0.000;0.000;0.000
018.3E9;1.250;0.000;0.000;0.000;0.000;0.000
018.3EZ;32.257;0.000;2.728;0.000;0.000;0.000
018.3F;20.753;0.000;5.255;0.000;0.000;0.000
018.4;9.470;0.000;0.320;0.000;1.170;20.190
018.5111;8.150;0.000;0.350;0.000;0.000;4.580
018.5112;2.740;0.000;0.600;0.000;0.000;4.400
018.51210;0.410;0.000;0.070;0.000;0.000;0.570
018.5121Z;2.770;0.000;0.000;0.000;0.000;0.000
018.51220;0.590;0.000;0.000;0.000;0.000;0.310
018.5122Z;2.850;0.000;0.000;0.000;0.000;0.000
018.512Z;1.810;0.000;0.000;0.000;0.000;0.000
018.51Z;3.810;0.000;0.240;0.000;0.000;0.000
018.52;4.380;0.000;4.400;0.000;0.000;20.470
018.5Z;22.170;0.000;0.000;0.000;0.000;0.000
018.610;0.340;0.000;0.000;0.000;0.000;1.550
018.61Z;6.770;0.000;0.000;0.000;0.000;0.000
018.620;8.090;0.000;0.220;0.000;0.000;6.280
018.62A0;0.080;0.000;0.000;0.000;0.000;0.000
018.62AZ;3.170;0.000;0.000;0.000;0.000;0.000
018.62B;4.470;0.000;0.000;0.000;0.000;0.000
018.630;15.250;0.000;0.000;0.000;0.000;1.030
018.63Z;5.960;0.610;0.000;0.000;0.000;0.000
018.64;5.490;0.000;0.550;0.000;0.000;21.050
018.711;11.850;0.820;1.800;0.000;0.000;21.280
018.712;4.000;1.020;0.180;0.000;0.000;2.700
018.71Z;7.190;0.000;0.000;0.000;0.000;0.000
018.72;11.080;0.890;0.000;0.000;0.830;1.180
018.7A0;8.330;0.050;0.000;0.000;0.000;0.000
018.7AZ;11.930;1.900;0.000;0.000;0.000;0.000
018.7B;15.970;2.330;0.000;0.000;0.000;0.000
018.7C;15.870;0.640;0.000;0.000;0.000;0.000
018.A1;0.240;0.000;0.000;0.000;0.000;0.000
018.A2;1.210;0.000;0.000;0.000;0.000;0.000
018.A31;1.490;1.080;0.000;0.000;0.000;0.000
018.A321;0.060;0.000;0.000;0.000;0.000;0.000
018.A322;1.510;0.000;0.000;0.000;0.000;0.000
018.A32Z;3.200;0.000;0.000;0.000;0.000;0.000
018.A3Z;28.500;0.460;0.000;0.000;0.000;0.000
018.A4;4.810;0.000;0.000;0.000;0.000;0.000
018.B0;3.790;1.880;0.000;0.000;0.000;0.000
018.BZ;47.840;0.810;0.000;0.000;0.000;0.000
018.C1;14.000;1.030;0.000;0.000;0.000;0.000
018.C21;2.990;2.020;0.000;0.000;0.000;0.000
018.C22;25.300;1.250;0.000;0.000;0.000;0.000
018.C2Z;13.290;3.390;0.000;0.000;0.000;0.000
018.D;41.280;0.000;0.000;0.000;0.000;0.000
018.E;73.760;0.940;0.000;0.000;0.000;0.000
018.F;3.578;0.000;0.000;0.000;0.000;0.000
018.G;0.734;0.000;0.000;0.000;0.000;0.000
019.11;15.730;1.030;5.340;0.000;3.360;29.060
019.1210;0.440;0.000;0.000;0.000;1.440;0.800
019.121Z;5.730;0.000;0.000;0.000;0.910;0.000
019.122;0.130;0.000;0.000;0.000;1.600;0.640
019.123;0.000;0.000;0.000;0.000;1.700;0.620
019.1240;0.800;0.000;0.000;0.000;2.120;0.280
019.124Z;6.480;0.000;0.000;0.000;1.950;0.000
019.12Z;11.750;0.000;0.000;0.000;2.240;0.000
019.211;1.920;0.000;4.220;0.000;1.640;14.680
019.2120;6.260;1.800;0.000;0.000;0.550;6.350
019.212Z;1.520;2.150;0.000;0.000;0.000;0.000
019.213;2.990;0.700;0.000;0.000;0.000;15.980
019.214;1.600;1.810;0.350;0.000;0.000;6.770
019.215;3.720;0.220;0.300;0.000;0.530;11.140
019.21610;1.690;0.000;0.130;0.000;0.000;7.240
019.2161Z;3.070;0.020;0.000;0.000;0.000;0.000
019.2162;0.950;0.760;0.060;0.000;2.040;1.170
019.216Z;3.360;3.510;0.000;0.000;0.990;0.000
019.217;1.050;0.000;0.140;0.000;0.170;8.560
019.2180;3.080;0.000;0.240;0.000;0.000;6.260
019.218Z;2.760;0.340;0.000;0.000;0.000;0.000
019.220;8.860;0.000;0.300;0.000;0.000;2.600
019.22Z;4.110;0.000;0.000;0.000;0.000;0.000
019.2A;0.630;0.000;0.000;0.000;0.000;0.000
019.2B;11.080;1.120;0.000;0.000;0.000;0.000
019.2C;14.190;1.930;0.000;0.000;0.000;0.000
019.2D;14.870;0.660;0.000;0.000;0.000;0.000
019.2E;3.930;0.000;0.000;0.000;0.000;0.000
019.A11;0.000;0.000;0.000;0.000;0.070;0.000
019.A120;3.140;1.180;0.000;0.000;0.410;0.000
019.A12Z;4.580;1.860;0.000;0.000;0.000;0.000
019.A13;0.000;0.450;0.000;0.000;0.000;0.000
019.A1Z;36.630;0.140;0.000;0.000;0.690;0.000
019.A21;0.000;0.000;0.000;0.000;0.070;0.000
019.A22;0.500;1.420;0.000;0.000;0.400;0.000
019.A230;0.140;0.410;0.000;0.000;0.000;0.000
019.A23Z;9.290;0.440;0.000;0.000;0.000;0.000
019.A3;0.740;2.470;0.000;0.000;0.000;0.000
019.A4;3.910;0.210;0.000;0.000;0.000;0.000
019.AA;1.990;0.000;0.000;0.000;0.000;0.000
019.AB11;1.620;0.000;0.000;0.000;0.000;0.000
019.AB12;2.210;0.000;0.000;0.000;0.000;0.000
019.AB1A;8.410;0.000;0.000;0.000;0.000;0.000
019.AB1B;18.340;0.000;0.000;0.000;0.000;0.000
019.AB1C;16.200;0.000;0.000;0.000;0.000;0.000
019.AB2;9.640;1.400;0.000;0.000;0.000;0.000
019.AC;42.170;0.000;0.000;0.000;0.000;0.000
019.AD;65.360;0.000;0.000;0.000;0.000;0.000
019.B1;3.370;10.920;0.000;0.000;0.000;0.000
019.B20;23.720;0.090;0.000;0.000;0.000;0.000
019.B2A;60.940;0.000;0.000;0.000;0.000;0.000
019.B2B;29.280;0.000;0.000;0.000;0.000;0.000
019.B31;12.850;2.130;0.000;0.000;0.000;0.000
019.B32;2.600;0.000;0.000;0.000;0.000;0.000
019.B41;2.820;0.000;0.000;0.000;0.000;0.000
019.B42;2.530;0.000;0.000;0.000;0.000;0.000
019.B4Z;71.520;1.590;0.000;0.000;0.000;0.000
019.B50;16.360;0.000;0.000;0.000;0.000;0.000
019.B5Z;13.580;0.000;0.000;0.000;0.000;0.000
019.B6;13.400;0.000;0.000;0.000;0.000;0.000
019.B7;0.710;0.000;0.000;0.000;0.000;0.000
019.B8;2.360;0.000;0.000;0.000;0.000;0.000
019.C11;3.740;0.000;0.000;0.000;0.000;0.000
019.C12;20.860;0.000;0.000;0.000;0.000;0.000
019.C21;4.750;0.000;0.000;0.000;0.000;0.000
019.C22;12.890;0.000;0.000;0.000;0.000;0.000
019.C3;43.250;0.000;0.000;0.000;0.000;0.000
019.C4;60.990;0.000;0.000;0.000;0.000;0.000
019.C51;27.430;0.000;0.000;0.000;0.000;0.000
019.C521;2.490;0.450;0.000;0.000;0.000;0.000
019.C522;10.350;0.000;0.000;0.000;0.000;0.000
019.C5Z;20.300;0.080;0.000;0.000;0.000;0.000
019.C61;12.610;0.000;0.000;0.000;0.000;0.000
019.C621;9.730;0.390;0.000;0.000;0.000;0.000
019.C622;3.370;0.000;0.000;0.000;0.000;0.000
019.C6A;53.300;0.000;0.000;0.000;0.000;0.000
019.C6B;4.740;0.000;0.000;0.000;0.000;0.000
019.CA11;0.130;0.000;0.000;0.000;0.000;0.000
019.CA12;2.230;0.000;0.000;0.000;0.000;0.000
019.CA1A;4.300;0.000;0.000;0.000;0.000;0.000
019.CA1B;9.760;0.000;0.000;0.000;0.000;0.000
019.CA21;0.060;0.000;0.000;0.000;0.000;0.000
019.CA22;4.850;0.000;0.000;0.000;0.000;0.000
019.CA30;0.780;0.000;0.000;0.000;0.000;0.000
019.CA3A;1.400;0.000;0.000;0.000;0.000;0.000
019.CA3B;8.110;0.000;0.000;0.000;0.000;0.000
019.CA4;0.520;0.000;0.000;0.000;0.000;0.000
019.CA5;11.100;0.000;0.000;0.000;0.000;0.000
019.CA60;9.200;0.000;0.000;0.000;0.000;0.000
019.CA6Z;13.520;0.000;0.000;0.000;0.000;0.000
019.CA7;1.270;0.000;0.000;0.000;0.000;0.000
019.CA8;13.340;0.000;2.510;0.000;0.000;0.000
019.CAA;8.330;0.000;0.000;0.000;0.000;0.000
019.CAB;4.340;0.000;0.000;0.000;0.000;0.000
019.CB11;29.630;0.000;0.000;0.000;0.000;0.000
019.CB12;9.520;0.000;0.370;0.000;0.000;0.000
019.CB21;36.210;0.000;8.960;0.000;0.000;0.000
019.CB22;1.820;0.000;6.940;0.000;0.000;0.000
019.CB2A0;0.610;0.000;0.100;0.000;0.000;0.000
019.CB2AZ;0.160;0.000;2.880;0.000;0.000;0.000
019.CB2B;5.710;0.000;2.900;0.000;0.000;0.000
019.CBA1;0.950;0.000;0.000;0.000;0.000;0.000
019.CBA20;0.620;0.000;0.000;0.000;0.000;0.000
019.CBA2A;1.580;0.000;0.220;0.000;0.000;0.000
019.CBA2B;0.090;0.000;1.220;0.000;0.000;0.000
019.CBA3;0.232;0.000;0.498;0.000;0.000;0.000
019.CBA4;0.710;0.000;0.000;0.000;0.000;0.000
019.CBB;1.796;0.000;0.659;0.000;0.000;0.000
019.CBC;21.740;0.000;4.590;0.000;0.000;0.000
019.CBD;0.082;0.000;0.529;0.000;0.000;0.000
019.CC;2.369;0.000;0.130;0.000;0.000;0.000
019.CD;62.308;0.000;17.456;0.000;0.000;0.000
019.CE0;10.236;0.000;2.046;0.000;0.000;0.000
019.CEA;1.267;0.000;0.000;0.000;0.000;0.000
019.CEB;19.678;0.000;4.291;0.000;0.000;0.000
019.CEC;11.009;0.000;2.301;0.000;0.000;0.000
019.CF;37.554;0.022;14.014;0.000;0.000;0.000
019.D10;25.960;0.000;0.000;0.000;0.000;0.000
019.D1A;2.190;0.000;0.000;0.000;0.000;0.000
019.D1B;14.440;0.000;0.000;0.000;0.000;0.000
019.D1C;2.164;0.000;0.000;0.000;0.000;0.000
019.D1D;15.610;0.000;0.058;0.000;0.000;0.000
019.D1E;4.224;0.000;0.362;0.000;0.000;0.000
019.D21;11.520;0.000;0.000;0.000;0.000;0.000
019.D22;1.530;0.000;0.000;0.000;0.000;0.000
019.D2Z;34.690;0.000;0.000;0.000;0.000;0.000
019.D30;2.180;0.000;0.000;0.000;0.000;0.000
019.D3A1;2.840;0.000;0.000;0.000;0.000;0.000
019.D3A2;5.740;0.000;0.000;0.000;0.000;0.000
019.D3A30;0.123;0.000;0.000;0.000;0.000;0.000
019.D3A3Z;24.165;0.197;0.730;0.000;0.000;0.000
019.D3A4;0.000;0.000;0.000;0.000;0.000;0.000
019.D3A5;1.946;0.000;0.000;0.000;0.000;0.000
019.D3A6;0.008;0.000;0.000;0.000;0.000;0.000
019.D3B;7.387;0.000;0.067;0.000;0.000;0.000
019.D4;4.780;0.000;0.000;0.000;0.000;0.000
019.D51;0.239;0.000;0.000;0.000;0.000;0.000
019.D521;4.984;0.000;0.000;0.000;0.000;0.000
019.D522;0.202;0.000;0.000;0.000;0.000;0.000
019.D61;8.510;0.000;0.000;0.000;0.000;0.000
019.D621;3.671;0.000;0.000;0.000;0.000;0.000
019.D622;10.752;0.000;0.819;0.000;0.000;0.000
019.D6Z;11.954;0.000;0.008;0.000;0.000;0.000
019.DA1;2.199;0.000;0.000;0.000;0.000;0.000
019.DA2;1.340;0.000;0.000;0.000;0.000;0.000
019.DA31;8.811;0.000;0.668;0.000;0.000;0.000
019.DA32;2.489;0.000;1.259;0.000;0.000;0.000
019.DA41;6.626;0.000;0.426;0.000;0.000;0.000
019.DA42;7.856;0.000;0.112;0.000;0.000;0.000
019.DA4Z;9.491;0.000;0.000;0.000;0.000;0.000
019.DA5;8.501;0.000;1.822;0.000;0.000;0.000
019.DA61;0.623;0.000;0.000;0.000;0.000;0.000
019.DA62;1.119;0.000;0.101;0.000;0.000;0.000
019.DA6A;4.652;0.000;2.066;0.000;0.000;0.000
019.DA6B;0.692;0.000;1.850;0.000;0.000;0.000
019.DA71;13.301;0.125;1.090;0.000;0.000;0.000
019.DA72;2.028;0.000;0.000;0.000;0.000;0.000
019.DA7Z;45.748;0.000;14.044;0.000;0.000;0.000
019.DA8;25.570;0.000;11.004;0.000;0.000;0.000
019.DB1;79.350;1.544;6.601;0.000;0.427;0.000
019.DB21;45.963;0.156;10.367;0.000;0.000;0.000
019.DB22;11.910;0.137;0.881;0.000;0.000;0.000
019.DB2A0;31.161;0.236;4.751;0.000;0.000;0.000
019.DB2AA;14.689;0.000;2.194;0.000;0.000;0.000
019.DB2AB;1.881;0.000;1.336;0.000;0.000;0.000
019.DB2AC;0.975;0.000;0.881;0.000;0.000;0.000
019.DB2B;2.507;0.000;0.207;0.000;0.000;0.000
019.DB2C;5.061;0.000;0.304;0.000;0.000;0.000
019.DC0;22.365;1.236;0.306;0.000;0.034;0.000
019.DCA0;3.036;0.114;0.000;0.000;0.000;0.000
019.DCAA;8.134;0.000;0.000;0.000;0.000;0.000
019.DCAB;2.688;0.000;0.000;0.000;0.000;0.000
019.DCAC;9.542;0.000;3.275;0.000;0.000;0.000
019.DCAD;0.732;0.000;0.000;0.000;0.000;0.000
019.DCAE;0.986;0.000;0.144;0.000;0.000;0.000
019.DCAF;4.517;0.000;2.904;0.000;0.000;0.000
019.DCB11;4.410;0.000;0.000;0.000;0.000;0.000
019.DCB1Z;23.286;0.300;3.084;0.000;0.000;0.000
019.DCB2;5.480;0.000;0.000;0.000;0.000;0.000
019.DCB31;1.620;0.017;0.000;0.000;0.000;0.000
019.DCB3Z;9.888;0.104;1.725;0.000;0.000;0.000
019.DCB4;0.919;0.000;0.000;0.000;0.000;0.000
019.DCB51;4.863;0.000;0.122;0.000;0.000;0.000
019.DCB52;0.422;0.000;0.038;0.000;0.000;0.000
019.DCB5A;1.254;0.000;0.429;0.000;0.000;0.000
019.DCB5B;5.132;0.000;1.312;0.000;0.000;0.000
019.DCB5C;3.170;0.000;0.407;0.000;0.000;0.000
019.DCB6;9.053;0.000;2.939;0.000;0.000;0.000
019.DCC;17.996;0.000;2.870;0.000;0.000;0.000
019.DCD;38.267;0.000;4.041;0.000;0.000;0.000
019.DD1;7.217;0.263;1.279;0.000;0.000;0.000
019.DD21;2.857;0.000;0.000;0.000;0.000;0.000
019.DD22;0.271;0.000;0.000;0.000;0.000;0.000
019.DD2A;7.351;0.000;0.120;0.000;0.000;0.000
019.DD2B;6.026;0.000;0.415;0.000;0.000;0.000
019.DDA;22.656;0.322;3.936;0.000;0.000;0.000
019.DDB11;1.202;0.150;0.318;0.000;0.000;0.000
019.DDB12;0.581;0.000;0.185;0.000;0.000;0.000
019.DDB1A;2.848;0.000;1.025;0.000;0.000;0.000
019.DDB1B;10.984;0.000;3.773;0.000;0.000;0.000
019.DDB21;2.257;0.000;0.000;0.000;0.000;0.000
019.DDB22;0.375;0.000;0.000;0.000;0.000;0.000
019.DDB2A1;0.027;0.000;0.000;0.000;0.000;0.000
019.DDB2A2;0.035;0.000;0.000;0.000;0.000;0.000
019.DDB2A3;0.121;0.000;0.000;0.000;0.000;0.000
019.DDB2A4;0.039;0.000;0.000;0.000;0.000;0.000
019.DDB2B;1.831;0.000;0.000;0.000;0.000;0.000
019.DDC;3.870;0.000;0.726;0.000;0.000;0.000
019.DDD;11.700;0.000;1.991;0.000;0.000;0.000
019.DDE0;18.151;0.000;4.807;0.000;0.000;0.000
019.DDEA;3.189;0.000;0.713;0.000;0.000;0.000
019.DDEB;5.317;0.000;1.678;0.000;0.000;0.000
019.DDF;9.273;0.000;5.738;0.000;0.000;0.000
019.DE1;2.301;0.000;0.091;0.000;0.000;0.000
019.DE2;5.051;0.000;0.284;0.000;0.000;0.000
019.DE31;1.587;0.000;0.034;0.000;0.000;0.000
019.DE32;0.491;0.000;0.000;0.000;0.000;0.000
019.DE33;5.021;0.000;0.010;0.000;0.000;0.000
019.DE41;1.392;0.000;0.000;0.000;0.000;0.000
019.DE42;2.595;0.000;0.000;0.000;0.000;0.000
019.DE43;1.774;0.000;0.550;0.000;0.000;0.000
019.DE5;10.103;0.000;1.531;0.000;0.000;0.000
019.DE61;2.806;0.000;0.017;0.000;0.000;0.000
019.DE62;2.815;0.000;1.263;0.000;0.000;0.000
019.DE6A;6.225;0.000;3.344;0.000;0.000;0.000
019.DE6B;10.200;0.000;5.922;0.000;0.000;0.000
019.DF1;0.235;0.000;0.099;0.000;0.000;0.000
019.DF2;0.403;0.000;0.063;0.000;0.000;0.000
019.DF3;0.020;0.000;0.000;0.000;0.000;0.000
019.DF41;0.230;0.000;0.000;0.000;0.000;0.000
019.DF42;1.140;0.000;4.580;0.000;0.000;0.000
019.DF4Z;1.080;0.000;0.354;0.000;0.000;0.000
019.DF5;0.009;0.000;0.000;0.000;0.000;0.000
019.DF6;1.260;0.000;7.010;0.000;0.000;0.000
019.DG;0.000;0.000;0.553;0.000;0.000;0.000
019.DH;0.000;0.000;0.211;0.000;0.000;0.000
019.E1;5.625;0.000;0.012;0.000;0.000;0.000
019.E2;12.492;0.000;0.333;0.000;0.000;0.000
019.E3;50.546;0.000;0.840;0.000;0.000;0.000
019.E4;5.091;0.000;0.000;0.000;0.000;0.000
019.E51;0.843;0.000;0.104;0.000;0.000;0.000
019.E52;6.436;0.175;0.132;0.000;0.000;0.000
019.E5A0;18.098;0.622;0.155;0.000;0.000;0.000
019.E5AA;19.102;0.000;0.000;0.000;0.000;0.000
019.E5AB;3.957;0.000;0.000;0.000;0.000;0.000
019.E5AC;3.960;0.000;0.000;0.000;0.000;0.000
019.E5B;31.764;0.000;8.632;0.000;0.000;0.000
019.E61;0.204;0.000;0.000;0.000;0.000;0.000
019.E62;1.763;0.000;0.239;0.000;0.000;0.000
019.E6Z;22.629;0.000;7.231;0.000;0.000;0.000
019.F1;65.634;1.580;5.438;0.000;0.273;0.000
019.F211;35.265;0.000;11.404;0.000;0.250;0.000
019.F212;0.468;0.000;0.000;0.000;0.000;0.000
019.F21Z;30.659;0.000;5.733;0.000;0.000;0.000
019.F221;0.195;0.000;0.000;0.000;0.000;0.000
019.F222;1.806;0.171;0.000;0.000;0.000;0.000
019.F22A;8.542;0.157;0.608;0.000;0.000;0.000
019.F22B;3.392;0.000;1.788;0.000;0.000;0.000
019.F22C;7.449;0.000;7.192;0.000;0.000;0.000
019.F22D;2.070;0.000;3.306;0.000;0.000;0.000
019.F2A0;5.044;0.000;0.000;0.000;0.000;0.000
019.F2AA;5.618;0.196;0.472;0.000;0.000;0.000
019.F2AB;0.999;0.000;0.473;0.000;0.000;0.000
019.F2B0;10.520;0.000;0.589;0.000;0.000;0.000
019.F2BA1;0.360;0.000;0.264;0.000;0.000;0.000
019.F2BA2;0.195;0.000;0.000;0.000;0.000;0.000
019.F2BA3;2.966;0.000;3.290;0.000;0.000;0.000
019.F2BA4;1.497;0.000;0.150;0.000;0.000;0.000
019.F2BA5;0.253;0.000;0.267;0.000;0.000;0.000
019.F2BA6;3.335;0.000;2.505;0.000;0.000;0.000
019.F2BB;1.256;0.000;2.691;0.000;0.000;0.000
019.F2C;1.356;0.000;0.000;0.000;0.000;0.000
019.F2D1;1.535;0.000;0.750;0.000;0.000;0.000
019.F2D2;9.401;0.000;0.927;0.000;0.000;0.000
019.F2D3;3.592;0.000;0.808;0.000;0.000;0.000
019.F2D4;19.554;0.000;2.550;0.000;0.000;0.000
019.F2D5;0.692;0.000;0.076;0.000;0.000;0.000
019.F2D6;1.318;0.000;0.946;0.000;0.000;0.000
019.F2E;15.462;0.000;2.576;0.000;0.000;0.000
019.F2F;6.276;0.000;1.994;0.000;0.000;0.000
019.F3;72.374;0.863;8.757;0.000;0.000;0.000
019.F41;2.952;0.000;0.000;0.000;0.000;0.000
019.F420;3.236;0.000;0.329;0.000;0.000;0.000
019.F42A1;3.444;0.000;0.809;0.000;0.000;0.000
019.F42A2;3.578;0.000;0.000;0.000;0.000;0.000
019.F42A3;0.862;0.000;0.393;0.000;0.000;0.000
019.F42A4;3.008;0.000;0.339;0.000;0.000;0.000
019.F42AZ;12.168;0.000;7.504;0.000;0.000;0.000
019.F42B;7.942;0.000;16.170;0.000;0.000;0.000
019.F4A;4.319;0.000;0.588;0.000;0.000;0.000
019.F4B;10.608;0.000;2.527;0.000;0.000;0.000
019.F9;19.803;0.076;4.082;0.000;0.000;0.000
019.G;116.029;0.964;6.378;0.000;0.000;0.000
019.H111;0.201;0.000;0.000;0.000;0.000;0.000
019.H112;0.039;0.000;0.000;0.000;0.000;0.000
019.H11A;0.031;0.000;0.000;0.000;0.000;0.000
019.H11B;1.319;0.000;0.000;0.000;0.000;0.000
019.H12;1.373;0.000;0.000;0.000;0.000;0.000
019.H211;0.149;0.000;0.000;0.000;0.000;0.000
019.H212;0.040;0.000;0.000;0.000;0.000;0.000
019.H220;26.900;0.668;7.534;0.000;0.000;0.000
019.H22Z;18.566;0.121;4.068;0.000;0.000;0.000
019.H31;7.496;0.229;0.000;0.000;0.000;0.000
019.H32;1.999;0.000;0.000;0.000;0.000;0.000
019.H41;0.786;0.000;0.189;0.000;0.000;0.000
019.H42;4.534;0.000;2.527;0.000;0.001;0.000
019.H5;41.093;0.634;3.139;0.000;0.176;0.000
019.H6;8.970;0.000;0.106;0.000;0.003;0.000
019.H71;2.485;0.000;0.091;0.000;0.000;0.000
019.H72;10.752;0.000;0.800;0.000;0.000;0.000
019.H81;10.972;0.000;0.803;0.000;0.000;0.000
019.H82;3.971;0.000;0.829;0.000;0.000;0.000
019.J1;8.202;0.000;9.418;0.000;0.000;0.000
