regine;fylke_sone
002.DCBB;5_1
002.DCBC;5_1
002.DCC1;5_1
002.DCC2;5_1
002.DCC3;5_1
002.DCC4;5_1
002.DCC5;5_1
002.DCC6;5_1
002.DCD11;5_1
002.DCD12;5_1
002.DCD1A;5_1
002.DCD1B;5_1
002.DCD2;5_1
002.DCE;5_1
002.DD11;4_1
002.DD12;4_1
002.DD1A1;4_1
002.DD1A2;4_1
002.DD1A3;4_1
002.DD1A4;4_1
002.DD1A5;4_1
002.DD1A6;4_1
002.DD1B;4_1
002.DD1C;4_1
002.DD20;5_1
002.DD2A1;5_1
002.DD2A2;5_1
002.DD2A30;5_1
002.DD2A3Z;5_1
002.DD2A4;5_1
002.DD2B;5_1
002.DD2C;5_1
002.DD2D0;5_1
002.DD2DZ;5_1
002.DD2E;5_1
002.DD3;4_1
002.DD41;5_1
002.DD42;5_1
002.DD4A0;5_1
002.DD4AZ;5_1
002.DD4B;5_1
002.DD4C;5_1
002.DD51;5_1
002.DD52;5_1
002.DD5A1;5_1
002.DD5A2;5_1
002.DD5A3;5_1
002.DD5A4;5_1
002.DD5A5;5_1
002.DD5A6;5_1
002.DD5B0;5_1
002.DD5BA1;5_1
002.DD5BA2;5_1
002.DD5BA3;5_1
002.DD5BA4;5_1
002.DD5BB;5_1
002.DD5BC;5_1
002.DD5BD1;5_1
002.DD5BD2;5_1
002.DD5BD3;5_1
002.DD5BD4;5_1
002.DD5BE1;5_1
002.DD5BE2;5_1
002.DD5BE3;5_1
002.DD5BE4;5_1
002.DD5BF;5_1
002.DD5C;5_1
002.DD5D;5_1
002.DD5E;5_1
002.DD61;5_1
002.DD62;5_1
002.DD6A;5_1
002.DD6B;5_1
002.DDA0;5_1
002.DDAA0;5_1
002.DDAAA;5_1
002.DDAAB;5_1
002.DDAB0;5_1
002.DDABZ;5_1
002.DDAC;5_1
002.DDB0;5_1
002.DDBZ;5_1
002.DDC0;5_1
002.DDCA10;5_1
002.DDCA1A;5_1
002.DDCA1B;5_1
002.DDCA2;5_1
002.DDCA3;5_1
002.DDCA4;5_1
002.DDCAA0;5_1
002.DDCAAA;5_1
002.DDCAAB;5_1
002.DDCAB;5_1
002.DDCAC;5_1
002.DDCB;5_1
002.DDCC;5_1
002.DDCD;5_1
002.DDCE;5_1
002.DDCF;5_1
002.DDD0;5_1
002.DDDZ;5_1
002.DDE1;5_1
002.DDE20;5_1
002.DDE2A;5_1
002.DDE2B;5_1
002.DDE2C;5_1
002.DDE2D;5_1
002.DDE3;5_1
002.DDE4;5_1
002.DDEA;5_1
002.DDEB;5_1
002.DDEC;5_1
002.DDF0;5_1
002.DDFA;5_1
002.DDFB;5_1
002.DDFC;5_1
002.DDG11;5_1
002.DDG12;5_1
002.DDG1Z;5_1
002.DDG2;5_1
002.DDGZ;5_1
002.DDH;5_1
002.DE1;5_1
002.DE2;5_1
002.DE310;5_1
002.DE31Z;5_1
002.DE32;5_1
002.DE33;5_1
002.DE34;5_1
002.DE3A1;5_1
002.DE3A2;5_1
002.DE3A3;5_1
002.DE3A4;5_1
002.DE3AA;5_1
002.DE3AB;5_1
002.DE3B0;5_1
002.DE3BA;5_1
002.DE3BB;5_1
002.DE3C0;5_1
002.DE3D1;5_1
002.DE3D2;5_1
002.DE3D9;5_1
002.DE3DA;5_1
002.DE3DB;5_1
002.DE3E;5_1
002.DE3F;5_1
002.DE4;5_1
002.DE51;5_1
002.DE52;5_1
002.DE5Z;5_1
002.DE6;5_1
002.DE7;5_1
002.DE81;5_1
002.DE82;5_1
002.DE8A;5_1
002.DE8B;5_1
002.DEA0;5_1
002.DEAA;5_1
002.DEAB;5_1
002.DEB0;5_1
002.DEBZ;5_1
002.DEC;5_1
002.DF10;5_1
002.DF1A1;5_1
002.DF1A2;5_1
002.DF1A3;5_1
002.DF1A4;5_1
002.DF1AA0;5_1
002.DF1AAZ;5_1
002.DF1AB;5_1
002.DF1AC;5_1
002.DF1B0;5_1
002.DF1BZ;5_1
002.DF1C0;5_1
002.DF1CZ;5_1
002.DF1D;5_1
002.DF1E;5_1
002.DF2;5_1
002.DF30;5_1
002.DF3A0;5_2
002.DF3AZ;5_2
002.DF3B0;5_2
002.DF3BZ;5_2
002.DF3C0;5_2
002.DF3CZ;5_2
002.DF3D;5_2
002.DF3E;5_2
002.DF3F;5_2
002.DF4;5_1
002.DF5;5_2
002.DF61;5_2
002.DF62;5_2
002.DF6A0;5_2
002.DF6AA;5_2
002.DF6AB;5_2
002.DF6B;5_2
002.DF6C;5_2
002.DF71;5_2
002.DF72;5_2
002.DF73;5_2
002.DF7Z;5_2
002.DF81;5_2
002.DF82;5_2
002.DF831;5_2
002.DF832;5_2
002.DF83Z;5_2
002.DFA0;5_2
002.DFAA1;5_2
002.DFAA2;5_2
002.DFAA3;5_2
002.DFAA4;5_2
002.DFAAA;5_2
002.DFAAB;5_2
002.DFAB;5_2
002.DFAC;5_2
002.DFAD;5_2
002.DFB1;5_2
002.DFB20;5_2
002.DFB2A;5_2
002.DFB2B;5_2
002.DFB31;5_2
002.DFB32;5_2
002.DFB3Z;5_2
002.DFB41;5_2
002.DFB42;5_2
002.DFB4A;5_2
002.DFB4B;5_2
002.DFB5;5_2
002.DFB61;5_2
002.DFB62;5_2
002.DFB6A;5_2
002.DFB6B;5_2
002.DFB6C;5_2
002.DFB7;5_2
002.DFB8;5_2
002.DFBA1;5_2
002.DFBA2;5_2
002.DFBA3;5_2
002.DFBA4;5_2
002.DFBA5;5_2
002.DFBA6;5_2
002.DFBAZ;5_2
002.DFBB0;5_2
002.DFBBA;5_2
002.DFBBB;5_2
002.DFBBC;5_2
002.DFBC0;5_2
002.DFBCA;5_2
002.DFBCB;5_2
002.DFBCC;5_2
002.DFBCD;5_2
002.DFBD;5_2
002.DFBE;5_2
002.DFBF1;5_2
002.DFBF2;5_2
002.DFBF3;5_2
002.DFBF4;5_2
002.DFBF5;5_2
002.DFBF6;5_2
002.DFC0;5_2
002.DFCA;5_2
002.DFCB1;5_2
002.DFCB2;5_2
002.DFCC;5_2
002.DFD;5_2
002.DFE1;5_2
002.DFE2;5_2
002.DFE3;5_2
002.DFE4;5_2
002.DFE5;5_2
002.DFE6;5_2
002.DFF;5_2
002.DFG;5_2
002.DFH;5_2
002.DFJ;5_2
002.DFK1;5_2
002.DFK2;5_2
002.DFK3;5_2
002.DFK4;5_2
002.DG10;5_2
002.DG1Z;5_2
002.DG21;5_2
002.DG22;5_2
002.DG2Z;5_2
002.DG3;5_2
002.DG4;5_2
002.DGA1;5_2
002.DGA20;5_2
002.DGA2Z;5_2
002.DGA3;5_2
002.DGA4;5_2
002.DGAA;5_2
002.DGAB;5_2
002.DGB0;5_2
002.DGBZ;5_2
002.DGC0;5_2
002.DGCA0;5_2
002.DGCAA;5_2
002.DGCAB;5_2
002.DGCB;5_2
002.DGD0;5_2
002.DGDA;5_2
002.DGDB1;5_2
002.DGDB2;5_2
002.DGDB3;5_2
002.DGDB4;5_2
002.DGDBZ;5_2
002.DGDC1;5_2
002.DGDC2;5_2
002.DGDC3;5_2
002.DGDC4;5_2
002.DGDC5;5_2
002.DGDC6;5_2
002.DGE0;5_2
002.DGEA;5_2
002.DGEB;5_2
002.DGF1;5_2
002.DGF2;5_2
002.DGF3;5_2
002.DGF4;5_2
002.DGF51;5_2
002.DGF52;5_2
002.DGF5A;5_2
002.DGF5B;5_2
002.DGF6;5_2
002.DGF7;5_2
002.DGF8;5_2
002.DGG10;5_2
002.DGG1Z;5_2
002.DGG21;5_2
002.DGG22;5_2
002.DGG2Z;5_2
002.DGG3;5_2
002.DGG4;5_2
002.DGH;5_2
002.DGJ;5_2
002.DH0;5_2
002.DHA1;5_2
002.DHA2;5_2
002.DHA31;5_2
002.DHA32;5_2
002.DHA41;5_2
002.DHA42;5_2
002.DHA5;5_2
002.DHA6;5_2
002.DHA7;5_2
002.DHA8;5_2
002.DHAA0;5_2
002.DHAAZ;5_2
002.DHAB10;5_2
002.DHAB1Z;5_2
002.DHAB2;5_2
002.DHAB3;5_2
002.DHAB4;5_2
002.DHABA;5_2
002.DHABB;5_2
002.DHABC;5_2
002.DHAC1;5_2
002.DHAC2;5_2
002.DHAC3;5_2
002.DHAC4;5_2
002.DHAC5;5_2
002.DHAC6;5_2
002.DHB1;5_2
002.DHB20;5_2
002.DHB2A1;5_2
002.DHB2A2;5_2
002.DHB2A3;5_2
002.DHB2A4;5_2
002.DHB2A5;5_2
002.DHB2A6;5_2
002.DHB2A9;5_2
002.DHB2AA;5_2
002.DHB2AB;5_2
002.DHB2B;5_2
002.DHB2C;5_2
002.DHB2D;5_2
002.DHB3;5_2
002.DHB40;5_2
002.DHB4Z;5_2
002.DHB5;5_2
002.DHB6;5_2
002.DHBA10;5_2
002.DHBA1Z;5_2
002.DHBA2;5_2
002.DHBA3;5_2
002.DHBA4;5_2
002.DHBAZ;5_2
002.DHBB0;5_2
002.DHBBZ;5_2
002.DHBC0;5_2
002.DHBCA;5_2
002.DHBCB;5_2
002.DHBCC;5_2
002.DHBD;5_2
002.DHC0;5_2
002.DHCA;5_2
002.DHCB;5_2
002.DHCC;5_2
002.DHCD;5_2
002.DHD0;5_2
002.DHDA;5_2
002.DHDB;5_2
002.DHE0;5_2
002.DHEA0;5_2
002.DHEAZ;5_2
002.DHEB;5_2
002.DHEC;5_2
002.DHED;5_2
002.DHF1;5_2
002.DHF2;5_2
002.DHF31;5_2
002.DHF32;5_2
002.DHF3Z;5_2
002.DHF4;5_2
002.DHFA;5_2
002.DHFB;5_2
002.DHFC;5_2
002.DHG1;5_2
002.DHG21;5_2
002.DHG22;5_2
002.DHG2A;5_2
002.DHG2B;5_2
002.DHGA0;5_2
002.DHGAZ;5_2
002.DHGB0;5_2
002.DHGBA0;5_2
002.DHGBAA;5_2
002.DHGBAB;5_2
002.DHGBB0;5_2
002.DHGBBA;5_2
002.DHGBBB;5_2
002.DHGBC;5_2
002.DHGC1;5_2
002.DHGC20;5_2
002.DHGC2A;5_2
002.DHGC2B;5_2
002.DHGC2C;5_2
002.DHGC3;5_2
002.DHGC4;5_2
002.DHH0;5_2
002.DHHA;5_2
002.DHHB;5_2
002.DHHC;5_2
002.DHHD;5_2
002.DHHE;5_2
002.DHJ1;5_2
002.DHJ20;5_2
002.DHJ2Z;5_2
002.DHJ30;5_2
002.DHJ3Z;5_2
002.DHJ4;5_2
002.DHJ5;5_2
002.DHJ60;5_2
002.DHJ6Z;5_2
002.DHJ7;5_2
002.DHJ8;5_2
002.DHJA;5_2
002.DHJB;5_2
002.DHK;5_2
002.DHL;5_2
002.DHM1;5_2
002.DHM2;5_2
002.DHM3;5_2
002.DHM4;5_2
002.DJ11;5_2
002.DJ12;5_2
002.DJ1A0;5_2
002.DJ1AZ;5_2
002.DJ1B;5_2
002.DJ1C;5_2
002.DJ21;5_2
002.DJ22;5_2
002.DJ2Z;5_2
002.DJ31;5_2
002.DJ32;5_2
002.DJ3A;5_2
002.DJ3B;5_2
002.DJ4;5_2
002.DJ51;5_2
002.DJ52;5_2
002.DJ530;5_2
002.DJ53Z;5_2
002.DJ5Z;5_2
002.DJ61;5_2
002.DJ62;5_2
002.DJ6A;5_2
002.DJ6B;5_2
002.DJ71;5_2
002.DJ72;5_2
002.DJ7A;5_2
002.DJ7B;5_2
002.DJ8;5_2
002.DJA0;5_2
002.DJAA0;5_2
002.DJAAZ;5_2
002.DJAB;5_2
002.DJB0;5_2
002.DJBA;5_2
002.DJBB;5_2
002.DJBC;5_2
002.DJC0;5_2
002.DJCA;5_2
002.DJCB;5_2
002.DJD0;5_2
002.DJDA;5_2
002.DJDB;5_2
002.DJE;5_2
002.DK0;5_2
002.DKA;5_2
002.DKB0;5_2
002.DKBZ;5_2
002.DKC;5_2
002.DL;5_2
002.DM;5_2
002.E11;2_1
002.E12;2_1
002.E1Z;2_1
002.E21;2_1
002.E22;2_1
002.E2A0;2_1
002.E2AA;2_1
002.E2AB;2_1
002.E2B;2_1
002.E3;2_1
002.E40;2_1
002.E4Z;2_1
002.E50;2_1
002.E5Z;2_1
002.E6;2_1
002.E7;2_1
002.E8;2_1
002.EA;4_1
002.EB111;4_1
002.EB112;4_1
002.EB11A;4_1
002.EB11B;4_1
002.EB11C;4_1
002.EB1A;4_1
002.EB1B;4_1
002.EB2;4_1
002.EB31;4_1
002.EB32;4_1
002.EB3A0;4_1
002.EB3AZ;4_1
002.EB3B;4_1
002.EB3C;4_1
002.EB4;4_1
002.EC1;4_1
002.EC2;4_1
002.EC3;4_1
002.EC41;4_1
002.EC42;4_1
002.EC4A;4_1
002.EC4B;4_1
002.ECA;4_1
002.ECB;4_1
002.ED;4_1
002.EE1;4_1
002.EE20;4_1
002.EE2Z;4_1
002.EF;4_1
002.F1;4_2
002.F21;4_2
002.F22;4_2
002.F2A;4_2
002.F2B;4_2
002.F2C;4_2
002.F30;4_2
002.F3A;4_2
002.F3B;4_2
002.F3C;4_2
002.F3D;4_2
002.F3E;4_2
002.F4;4_2
002.F5;4_2
002.F61;4_2
002.F62;4_2
002.F63;4_2
002.F6Z;4_2
002.FA;4_2
002.FB;4_2
002.FC;4_2
002.FD;4_2
002.FE0;4_2
002.FEZ;4_2
002.FF;4_2
002.FG;4_2
002.G10;4_2
002.G1A;4_2
002.G1B;4_2
002.G21;4_2
002.G22;4_2
002.G2Z;4_2
002.G30;4_2
002.G3A;4_2
002.G3B;4_2
002.G3C;4_2
002.G4;4_2
002.G5;4_2
002.G60;4_2
002.G6A;4_2
002.G6B;4_2
002.G6C;4_2
002.G6D1;4_2
002.G6D2;4_2
002.G6D3;4_2
002.G6D4;4_2
002.G6D5;4_2
002.G6D6;4_2
002.G6D7;4_2
002.G6D8;4_2
002.G7;4_2
002.G8;4_2
002.GA1;4_2
002.GA20;4_2
002.GA2Z;4_2
002.GA30;4_2
002.GA3Z;4_2
002.GA4;4_2
002.GA5;4_2
002.GA6;4_2
002.GAA;4_2
002.GAB0;4_2
002.GABZ;4_2
002.GAC;4_2
002.GAD;4_2
002.GAE;4_2
002.GB0;4_2
002.GBA0;4_2
002.GBAZ;4_2
002.GBB0;4_2
002.GBBZ;4_2
002.GBC;4_2
002.GC11;4_2
002.GC12;4_2
002.GC1A;4_2
002.GC1B;4_2
002.GC20;4_2
002.GC2Z;4_2
002.GC3;4_2
002.GC4;4_2
002.GCA;4_2
002.GCB;4_2
002.GCC;4_2
002.GD0;4_2
002.GDA;4_2
002.GDB;4_2
002.GE;4_2
002.H11;4_2
002.H12;4_2
002.H1A0;4_2
002.H1AA;4_2
002.H1AB;4_2
002.H1AC;4_2
002.H1B;4_2
002.H21;4_2
002.H22;4_2
002.H2Z;4_2
002.H31;4_2
002.H32;4_2
002.H33;4_2
002.H3A0;4_2
002.H3AZ;4_2
002.H3B;4_2
002.H41;4_2
002.H42;4_2
002.H43;4_2
002.H4A;4_2
002.H4B;4_2
002.H4C;4_2
002.H5;4_2
002.H61;4_2
002.H62;4_2
002.H6Z;4_2
002.H711;4_2
002.H712;4_2
002.H713;4_2
002.H72;4_2
002.H7Z;4_2
002.H811;4_2
002.H812;4_2
002.H813;4_2
002.H82;4_2
002.H8Z;4_2
002.HA0;4_3
002.HAZ;4_3
002.HB0;4_3
002.HBZ;4_3
002.HC11;4_3
002.HC12;4_3
002.HC1Z;4_3
002.HC2;4_3
002.HCZ;4_3
002.HD11;4_3
002.HD12;4_3
002.HD1A;4_3
002.HD1B;4_3
002.HD2;4_3
002.HDZ;4_3
002.HE;4_3
002.J0;4_3
002.JA0;4_3
002.JAA0;4_3
002.JAAA0;4_3
002.JAAAA;4_3
002.JAAAB;4_3
002.JAAB;4_3
002.JAAC;4_3
002.JAB;4_3
002.JB1;4_3
002.JB2;4_3
002.JB3;4_3
002.JB4;4_3
002.JBA1;4_3
002.JBA2;4_3
002.JBA31;4_3
002.JBA32;4_3
002.JBA3Z;4_3
002.JBA4;4_3
002.JBA5;4_3
002.JBA61;4_3
002.JBA62;4_3
002.JBA6Z;4_3
002.JBA7;4_3
002.JBA81;4_3
002.JBA82;4_3
002.JBA8A;4_3
002.JBA8B;4_3
002.JBB11;4_3
002.JBB12;4_3
002.JBB13;4_3
002.JBB1A0;4_3
002.JBB1AA0;4_3
002.JBB1AAZ;4_3
002.JBB1AB;4_3
002.JBB1B0;4_3
002.JBB1BZ;4_3
002.JBB1C;4_3
002.JBB21;4_3
002.JBB22;4_3
002.JBB2A;4_3
002.JBB2B;4_3
002.JBC0;4_3
002.JBCZ;4_3
002.JBD0;4_3
002.JBDZ;4_3
002.JBE;4_3
002.JBF;4_3
002.JC1;4_3
002.JC2;4_3
002.JC30;4_3
002.JC3Z;4_3
002.JC4;4_3
002.JC5;4_3
002.JC6;4_3
002.JC7;4_3
002.JC8;4_3
002.JD1;4_3
002.JD2;4_3
002.JD31;4_3
002.JD32;4_3
002.JD3A0;4_3
002.JD3AA;4_3
002.JD3AB1;4_3
002.JD3AB2;4_3
002.JD3AB3;4_3
002.JD3AB4;4_3
002.JD3AC;4_3
002.JD3B;4_3
002.JD3C0;4_3
002.JD3CA;4_3
002.JD3CB;4_3
002.JD3D;4_3
002.JD4;4_3
002.JDA1;4_3
002.JDA21;4_3
002.JDA22;4_3
002.JDA2Z;4_3
002.JDAZ;4_3
002.JDB0;4_3
002.JDBZ;4_3
002.JDC0;4_3
002.JDCZ;4_3
002.JDD0;4_3
002.JDDZ;4_3
002.JDE;4_3
002.JE1;4_3
002.JE2;4_3
002.JE3;4_3
002.JE41;4_3
002.JE42;4_3
002.JE4Z;4_3
002.JE5;4_3
002.JE60;4_3
002.JE6A;4_3
002.JE6B;4_3
002.JE71;4_3
002.JE72;4_3
002.JE7Z;4_3
002.JE8;4_3
002.JEA0;4_3
002.JEAZ;4_3
002.JEB;4_3
002.JF0;4_3
002.JFZ;4_3
002.JG0;4_3
002.JGZ;4_3
002.JH1;4_3
002.JH2;4_3
002.JH3;4_3
002.JH4;4_3
002.JH5;4_3
002.JH6;4_3
002.JHA0;4_3
002.JHAZ;4_3
002.JHB;4_3
002.JJ;4_3
002.K11;4_3
002.K12;4_3
002.K1Z;4_3
002.K20;4_3
002.K2A0;4_3
002.K2AZ;4_3
002.K2B;4_3
002.K30;4_3
002.K3Z;4_3
002.K4;4_3
002.K5;4_3
002.K60;4_3
002.K6A10;4_3
002.K6A1A;4_3
002.K6A1B;4_3
002.K6A2;4_3
002.K6A3;4_3
002.K6A4;4_3
002.K6A5;4_3
002.K6A6;4_3
002.K6AA;4_3
002.K6AB;4_3
002.K6B;4_3
002.K7;4_3
002.K8;4_3
002.KA0;4_3
002.KAA0;4_3
002.KAAZ;4_3
002.KAB;4_3
002.KB;4_3
002.KC1;4_3
002.KC20;4_3
002.KC2Z;4_3
002.KC3;4_3
002.KC4;4_3
002.KC5;4_3
002.KC6;4_3
002.KC7;4_3
002.KC8;4_3
002.KCZ;4_3
002.KD;4_3
002.L1;4_3
002.L20;4_3
002.L2Z;4_3
002.L31;4_3
002.L32;4_3
002.L3A0;4_3
002.L3AZ;4_3
002.L3B;4_3
002.L40;4_3
002.L4Z;4_3
002.L5;4_3
002.L61;4_3
