regine;a_lake_km2
074.CD;38.5046
074.CC;1.9800
074.CE;0.0143
026.N6;1.1351
026.N8;2.7702
026.N12;3.5832
026.N31;5.4708
026.N4;2.0591
026.N22;10.0170
026.N7;1.2062
026.N21;0.4422
026.N11;0.8836
026.N32;6.4658
026.N5;2.1288
026.M;2.4639
026.N3Z;2.8780
017.E2;0.4957
017.D3;1.3577
017.D1A;1.2111
017.D4;3.9626
017.D9;0.4865
017.C;1.0017
017.E1;1.3978
017.D12;3.7282
017.D11;3.0649
017.D1B;9.5349
017.D22;6.3858
017.D21;2.6855
017.E3;0.2058
017.D2Z;5.8169
017.E4;0.2417
017.DA0;1.0459
002.DAB4;5.1185
002.DAB9;0.8407
002.DAC2;0.0627
002.DAB3;6.5036
002.DAB20;10.9167
002.DAB1;10.0593
002.DABA;1.2122
002.DAC10;0.0620
002.DAB2A;0.2276
016.G52E;13.7187
016.G5B221;6.4680
016.G5B21;12.5311
016.G5B1;1.4637
016.G5B222;1.8878
016.G5B2A1;0.1785
016.G52D;6.8809
016.G5B2A21;0.0142
012.AB2;0.8133
012.AB10;0.3251
012.AA5;0.1755
012.AB32;0.9738
012.AB51;8.0118
012.AB52;4.8392
012.AB4;15.1860
012.AA6;0.1331
012.AB31;1.2751
012.AB3Z;0.5477
012.AB1Z;1.8343
012.AB5A;0.6829
016.BJ;34.5473
016.BK0;0.0001
016.BH6;0.0979
025.L30;4.2122
025.L20;2.6443
025.L50;6.3558
025.L6;4.5549
025.L5A0;0.1520
025.L4;2.6159
025.L10;10.0363
025.K12;0.6092
025.K22;0.8829
025.L1Z;0.2748
311.GA;0.7918
311.G1;1.5891
311.G9;18.5345
311.G2;10.8040
311.H;0.0032
156.BC1;6.0776
156.BC3;0.2181
156.BC5;1.7220
156.BC2;4.3767
156.BD0;10.4835
156.BC61;2.2419
156.BC6Z;3.3534
156.BC62;0.9098
156.BC4;0.2860
156.BE;0.5549
156.BB82;0.0024
156.BDZ;1.1508
156.BB72;0.0027
002.DFG;31.6164
196.AE41;13.6552
196.AE3;4.2192
196.AE42;10.9612
196.AE5;0.0287
196.AE6;0.6764
002.DF4;0.4900
002.DF2;2.4400
002.DE32;0.8686
002.DE6;5.5891
002.DF61;1.2445
002.DE4;1.9369
002.DE51;2.0837
002.DE1;0.5360
002.DDA0;1.2063
002.DE33;1.1262
002.DF62;1.3306
002.DE7;0.8713
002.DF10;1.5485
002.DF30;1.3661
002.DF1A1;0.0307
002.DE52;3.2405
002.DE34;0.1816
002.DE81;0.6899
002.DE82;0.2549
002.DE310;0.2261
002.DE2;0.6505
002.DDB0;0.3420
002.DF5;1.6745
002.DF3A0;0.1039
002.DE5Z;0.9268
