regine;ret_tot-p;ret_tot-n
012.BB4A1C;0.36;0.07
012.BB4A3A;0.63;0.13
012.BB4A7;0.4;0.08
012.BB4B1B;0.28;0.06
012.BB4B1C;0.16;0.03
012.BB4B1D;0.4;0.08
012.BB4B1E;0.2;0.04
012.BB4B1F;0.39;0.08
012.BB4B1G;0.69;0.18
012.BB4C;0.21;0.04
012.BB4D;0.68;0.14
012.BC1Z;0.71;0.2
012.BC2Z;0.69;0.18
012.BD1;0.27;0.05
012.BD2Z;0.61;0.16
012.BEZ;0.32;0.07
012.BF;0.24;0.05
012.CB1;0.38;0.08
012.CB21A;0.66;0.15
012.CB4Z;0.1;0.02
012.CB5Z;0.1;0.02
012.CB7B;0.17;0.03
012.CB8Z;0.25;0.05
012.CC1Z;0.39;0.09
012.CC3Z;0.47;0.11
012.CC4Z;0.5;0.11
012.CC6AZ;0.7;0.2
012.CC6B;0.17;0.03
012.CC71;0.13;0.03
012.CC7AZ;0.18;0.04
012.CC7B;0.51;0.12
012.CC8Z;0.67;0.19
012.CCA2Z;0.47;0.11
012.CCAC;0.51;0.12
012.CCAD;0.49;0.11
012.CCB3Z;0.82;0.25
012.CCBAZ;0.91;0.35
012.CCBB;0.86;0.29
012.CCC;0.87;0.3
012.CD2A3Z;0.6;0.14
012.CD2B;0.52;0.12
012.CD3Z;0.53;0.14
012.CD5B;0.36;0.09
012.CDA1B;0.22;0.04
012.CDA2Z;0.45;0.1
012.CDB11;0.06;0.01
012.CDB22Z;0.74;0.2
012.CDB2B;0.21;0.04
012.CDB2C;0.74;0.18
012.CDB3Z;0.17;0.03
012.CDBA1;0.14;0.03
012.CDBAA;0.54;0.11
012.CDBAC;0.26;0.05
012.CDBBZ;0.37;0.09
012.CDBC;0.52;0.13
012.CDCA1;0.44;0.09
012.CDCA2B;0.32;0.06
012.CDCD;0.54;0.14
012.CDD1;0.23;0.05
012.CDD2Z;0.56;0.14
012.CE2B;0.88;0.32
012.CE3A12B;0.44;0.09
012.CE3A22Z;0.78;0.22
012.CE3B;0.31;0.07
012.CE5;0.04;0.01
012.CEAZ;0.46;0.11
012.CEB0;0.22;0.04
012.CEBB;0.44;0.09
012.CEBC;0.58;0.14
012.CEC1A;0.5;0.1
012.CEC1C;0.65;0.17
012.CED1;0.56;0.11
012.CED3;0.32;0.06
012.CEF;0.14;0.03
012.CF1;0.04;0.01
012.CF31;0.16;0.03
012.CF3Z;0.66;0.17
012.CF4C;0.63;0.15
012.CF4D;0.85;0.27
012.CFA3;0.09;0.02
012.CFA7;0.11;0.02
012.CFB11C;0.65;0.16
012.CFBBZ;0.63;0.15
012.CFBC1A;0.12;0.02
012.CFBC1E;0.21;0.04
012.CFBD;0.77;0.15
012.CFBE2B;0.48;0.11
012.CFBE2C;0.62;0.12
012.CFBF1Z;0.71;0.2
012.CFBG1;0.35;0.07
012.CFC2AAA;0.63;0.13
012.CFC2ABZ;0.27;0.05
012.CFC2B;0.15;0.03
012.CFC2C;0.31;0.06
012.CFC3;0.19;0.04
012.CFD1;0.67;0.13
012.CFD2Z;0.56;0.14
012.CFE;0.78;0.25
012.CG1Z;0.24;0.05
012.CG3;0.15;0.03
012.CH1;0.48;0.1
012.CHB;0.47;0.09
012.CHC;0.92;0.35
012.CJ10;0.29;0.06
012.CJ1B;0.48;0.11
012.CJ1C;0.56;0.13
012.CJ3;0.1;0.02
012.CJA;0.28;0.07
012.CJB;0.61;0.15
012.CK12;0;0
012.CK13;0;0
012.CK3;0.4;0.08
012.CK5;0.67;0.17
012.D31;0.5;0.12
012.D6Z;0.37;0.09
012.D8AA;0.7;0.14
012.D8AC;0.83;0.26
012.D8B;0.73;0.19
012.D9;0;0
012.DAZ;0.6;0.14
012.DBA1;0.27;0.05
012.DBAZ;0.75;0.21
012.DBB;0.61;0.15
012.DC31;0.23;0.05
012.DC3Z;0.66;0.17
012.DCZ;0.39;0.08
012.DD;0.74;0.21
012.EB10;0.63;0.13
012.EB1A;0.76;0.19
012.EB3Z;0.57;0.15
012.EB4A1;0.44;0.09
012.EB4A5;0.18;0.04
012.EB4B1;0.79;0.16
012.EB4B4Z;0.45;0.1
012.EB4B82;0;0
012.EBA2Z;0.25;0.05
012.EBB;0.4;0.08
012.EC12Z;0.59;0.13
012.EC2A0;0.11;0.02
012.EC2AB;0.84;0.23
012.EC2B;0.58;0.12
012.EC4A0;0.24;0.05
012.EC4AA;0.51;0.12
012.EC4AB;0.83;0.22
012.EC4B;0.7;0.19
012.EC52Z;0.29;0.06
012.EC5A;0.59;0.12
012.EC5C;0.13;0.03
012.EC7AZ;0.44;0.1
012.EC7C;0.52;0.1
012.EC8B;0.73;0.17
012.EC8C;0.22;0.04
012.EDA2Z;0.58;0.15
012.EDAAAA11Z;0.55;0.11
012.EDAAAA1A;0.54;0.13
012.EDAAAA1C;0.51;0.1
012.EDAAAA2;0.14;0.03
012.EDAAB;0.16;0.03
012.EDAB6Z;0.25;0.05
012.EDAC;0.41;0.08
012.EDB1Z;0.52;0.11
012.EDB5;0.19;0.04
012.EDB7;0.24;0.05
012.EDC1Z;0.4;0.09
012.EDCB;0.33;0.07
012.EDCC;0.4;0.08
012.EDCE;0.35;0.08
012.EDD1;0.37;0.08
012.EDD2A;0.42;0.08
012.EDD2B;0.58;0.12
012.EDD3Z;0.11;0.02
012.EDE;0.49;0.11
012.EEZ;0.37;0.09
012.EF2B;0.32;0.06
012.EF4Z;0.15;0.03
012.EF5D;0.49;0.1
012.EF5E;0.72;0.14
012.EF6Z;0.56;0.13
012.EFB;0.57;0.11
012.EFC;0.62;0.15
012.EGA;0.31;0.06
012.EGBA;0.21;0.04
012.EGBB;0.4;0.08
012.EGBC;0.58;0.12
012.EGBD;0.56;0.14
012.EGC;0.33;0.07
012.EH;0.15;0.03
012.EJA;0.25;0.05
012.EJB;0.74;0.15
012.EK;0.41;0.1
012.F31;0.03;0.01
012.F3Z;0.75;0.2
012.F5A;0.57;0.11
012.F6;0.44;0.09
012.G1A;0.57;0.11
012.G1C;0.3;0.06
012.G2Z;0.54;0.14
012.GA2Z;0.45;0.1
012.GBAZ;0.67;0.17
012.GBC;0.48;0.1
012.GBD;0.35;0.07
012.GC;0.29;0.06
012.GE;0.38;0.08
012.GG;0.36;0.08
012.GH;0.56;0.11
012.GJ;0.21;0.04
012.GK;0.71;0.14
012.H1A0;0.2;0.04
012.H1AZ;0.58;0.13
012.H1B;0.66;0.17
012.H3Z;0.86;0.29
012.H4Z;0.53;0.13
012.HAZ;0.24;0.06
012.HB;0.28;0.06
012.HD;0.68;0.16
012.J2Z;0.52;0.13
012.J6Z;0.8;0.25
012.J71;0.09;0.02
012.JA1;0.23;0.05
012.JB2A;0.62;0.12
012.JB2B;0.36;0.07
012.JB4B;0.78;0.22
012.JC11;0.4;0.08
012.JC1Z;0.62;0.15
012.JCA;0.06;0.01
012.JCB11;0.36;0.07
012.JCB1Z;0.79;0.24
012.JCBA0;0.17;0.03
012.JCBAZ;0.11;0.02
012.JCBB;0.43;0.1
012.JCC;0.35;0.07
012.JCE;0.16;0.03
012.JCF;0.78;0.18
012.JD10;0.5;0.1
012.JD1A;0.46;0.09
012.JD1C;0.52;0.13
012.JDA;0.57;0.11
012.JDC;0.22;0.04
012.JE;0.65;0.13
012.JF;0.47;0.09
012.K;0.41;0.09
012.L1A;0.66;0.16
012.L1B;0.29;0.06
012.L2B;0.36;0.07
012.L2D;0.63;0.13
012.LA1;0.14;0.03
012.LA5A;0.33;0.07
012.LA5B;0.57;0.11
012.LA6;0.1;0.02
012.LB1;0.32;0.06
012.LBB0;0.37;0.08
012.LBBA;0.38;0.08
012.LBBB2Z;0.76;0.23
012.LBBC;0.15;0.03
012.LBBD;0.53;0.11
012.LBBE;0.6;0.12
012.LBBF;0.19;0.04
012.LBBG;0.69;0.14
012.LBC;0.54;0.11
012.LBD;0.61;0.12
012.LBE;0.18;0.04
012.LC1;0.21;0.04
012.LC3;0.31;0.07
012.LD;0.44;0.09
012.LE1;0.24;0.05
012.LE2B;0.47;0.1
012.LG1;0.09;0.02
012.LG2B;0.5;0.1
012.LG2C;0.35;0.07
012.LH1;0.51;0.1
012.LHAA;0.45;0.1
012.LHAB;0.72;0.19
012.LHB;0.58;0.14
012.M1;0.04;0.01
012.M3;0.4;0.08
012.N2A;0.71;0.14
012.NA;0.48;0.1
012.P10;0.64;0.13
012.P1A2Z;0.83;0.26
012.P1AB;0.62;0.12
012.P1BZ;0.38;0.08
012.P1CB;0.63;0.13
012.P1D1B;0.42;0.08
012.P1E;0.55;0.13
012.PZ;0.4;0.09
012.Q30;0.1;0.02
012.QA;0.08;0.02
012.QB;0.73;0.15
012.QC;0.53;0.13
012.R11;0.1;0.02
012.R1A;0.74;0.2
012.R1B;0.5;0.1
012.R2;0.41;0.08
012.T;0.69;0.19
013.1Z;0.91;0.33
013.3B;0.59;0.12
013.AZ;0.38;0.09
013.BZ;0.13;0.03
013.CZ;0.42;0.1
013.D;0.44;0.11
