regine;ret_tot-p;ret_tot-n
026.3D;0.51;0.12
026.4AA1;0.26;0.06
026.4AA9;0.1;0.02
026.4AAA;0.52;0.12
026.4AAB;0.15;0.03
026.4AB;0.58;0.15
026.4AD;0.3;0.06
026.4B1Z;0.68;0.18
026.4BA3;0.3;0.06
026.4BC0;0.44;0.09
026.4BCB;0.55;0.11
026.4BCC;0.82;0.23
026.4BD;0.36;0.08
026.4BE;0.41;0.08
026.4BF;0.39;0.09
026.4D;0.39;0.08
026.4E;0.44;0.09
026.4F;0.59;0.15
026.B1;0.51;0.1
026.B2Z;0.73;0.21
026.BA11B;0.52;0.12
026.BA1B;0.26;0.05
026.BA1C;0.69;0.19
026.BB;0.36;0.07
026.BCB;0.43;0.09
026.BCC;0.6;0.14
026.BE;0.26;0.05
026.BF;0.45;0.11
026.C;0.42;0.08
026.D1A0;0.39;0.09
026.D1AA;0.13;0.03
026.D1AB;0.54;0.11
026.D1AC;0.58;0.14
026.D1B;0.73;0.21
026.D3A0;0.12;0.02
026.D3AA;0.19;0.04
026.D3AB;0.4;0.08
026.D3AC;0.3;0.06
026.D3B;0.34;0.07
026.D3C;0.6;0.16
026.D41;0.03;0
026.D4B;0.42;0.08
026.D4C;0.2;0.04
026.DB;0.32;0.06
026.DE;0.3;0.06
026.DF;0.45;0.1
026.DH;0.64;0.17
026.E11B;0.38;0.08
026.E1B;0.15;0.03
026.E1C;0.31;0.06
026.E1D;0.6;0.15
026.E4B;0.3;0.07
026.E4C;0.65;0.17
026.EA1A;0.24;0.05
026.EA3A;0.32;0.07
026.EA3B;0.33;0.07
026.EA5;0.22;0.04
026.EB10;0.55;0.13
026.EB1B;0.27;0.05
026.EB3;0.48;0.11
026.EB4;0.38;0.08
026.EC;0.14;0.03
026.F111;0.05;0.01
026.F112;0;0
026.F11A;0.32;0.07
026.F11B;0.29;0.06
026.F1B;0.25;0.05
026.F1C;0.35;0.08
026.FA1B;0.32;0.06
026.FB;0.21;0.04
026.FC1;0.21;0.04
026.FC2;0.36;0.07
026.FC3;0.42;0.1
026.G2C;0.52;0.12
026.G4;0.08;0.02
026.GA;0.2;0.04
026.H1A;0.1;0.02
026.H1B;0.45;0.09
026.H1C;0.31;0.06
026.H2A;0.29;0.06
026.H2B;0.4;0.08
026.H3A;0.4;0.09
026.H3B2A;0.27;0.06
026.H3B2B;0.45;0.1
026.H3B2C;0.15;0.03
026.H3B4;0.1;0.02
026.H3B5;0.45;0.1
026.H3B6;0.35;0.08
026.H41;0.27;0.05
026.HC;0.12;0.02
026.HD;0.22;0.04
026.HE0;0.07;0.01
026.HEA;0.23;0.05
026.HEB;0.43;0.09
026.HEC;0.43;0.09
026.HF;0.52;0.1
026.J10;0.07;0.01
026.J1Z;0.08;0.02
026.J3;0.12;0.02
026.JZ;0.26;0.05
026.L1;0.14;0.03
026.L3;0.13;0.03
026.LA11;0.35;0.08
026.LA12;0;0
026.LA1B;0.39;0.09
026.LA2A10;0.32;0.07
026.LA2A1Z;0.2;0.04
026.LA2B;0.42;0.09
026.LB;0.41;0.08
026.LC;0.69;0.18
026.M;0.69;0.15
026.N3Z;0.65;0.18
026.P1;0.49;0.11
026.P4;0.1;0.02
026.P5;0.4;0.1
026.P6;0.17;0.03
027.1A1;0.19;0.04
027.1AA;0.67;0.18
027.1C12;0;0
027.1C3;0.31;0.07
027.1D4;0.33;0.07
027.1E3;0.52;0.1
027.1G;0.77;0.21
027.3A;0.15;0.04
027.3C0;0.17;0.03
027.3CA;0.35;0.07
027.3CC0;0.32;0.06
027.3CCA;0.54;0.12
027.3CCB;0.26;0.06
027.3CD;0.58;0.14
027.3CF;0.21;0.04
027.3D;0.15;0.03
027.3E;0.2;0.04
027.3F;0.44;0.11
027.5Z;0.51;0.12
027.6AB;0.34;0.07
027.6AC;0.26;0.05
027.6AD;0.54;0.13
027.6AE;0.42;0.08
027.6AF;0.64;0.16
027.6C;0.31;0.07
027.6D;0.11;0.02
027.7A;0.26;0.05
027.7BA;0.5;0.12
027.7BB;0.25;0.05
027.7BC;0.27;0.05
027.7CA;0.12;0.02
027.7CB;0.46;0.09
027.7CC;0.62;0.16
027.7D;0.33;0.07
027.A1;0.05;0.01
027.A2A;0.7;0.19
027.AA;0.44;0.09
027.AC0;0.11;0.02
027.ACZ;0.52;0.12
027.AD;0.31;0.07
027.B1;0.08;0.02
027.BC;0.56;0.15
027.BD;0.26;0.05
027.BE;0.44;0.1
027.BF;0.63;0.15
027.C1;0.27;0.05
027.CB;0.35;0.07
027.CC;0.65;0.18
027.D1;0.34;0.07
027.D6A;0.25;0.05
027.D6B;0.53;0.12
027.E1;0.13;0.03
027.E3;0.26;0.05
027.E5;0.4;0.08
027.F3;0.14;0.03
027.G1;0.47;0.12
027.G5;0.5;0.11
027.G6;0.44;0.09
027.G8;0.33;0.07
028.1Z;0.17;0.03
028.21Z;0.16;0.03
028.32Z;0.07;0.01
028.3B5;0.16;0.03
028.3BZ;0.67;0.18
028.3C;0.27;0.05
028.3D;0.69;0.16
028.4B;0.73;0.17
028.4C;0.53;0.11
028.4E;0.39;0.08
028.6B;0.75;0.17
028.7B;0.53;0.11
028.A3;0.08;0.02
028.B;0.49;0.12
028.C2B;0.53;0.11
028.C2C;0.26;0.05
028.CB;0.47;0.1
028.D0;0.2;0.04
028.DA;0.7;0.17
028.DC;0.26;0.05
028.E;0.62;0.16
029.1Z;0.45;0.1
029.22Z;0.2;0.04
029.2A;0.2;0.04
029.2B;0.56;0.11
029.2D3;0.25;0.05
029.2E1;0.39;0.08
029.2E3;0.46;0.09
030.1B;0.23;0.05
030.1C;0.43;0.09
030.1F1;0.25;0.05
030.1F2A;0.29;0.06
030.1F2B;0.28;0.06
030.1F2C;0.26;0.05
030.1G;0.46;0.12
030.21Z;0.43;0.09
030.2A2A3;0.35;0.07
030.2A2C;0.51;0.12
030.2A3B;0.3;0.07
030.2A3C;0.5;0.11
030.2A4;0.06;0.01
030.2AZ;0.33;0.07
030.2B;0.08;0.02
030.2C2B;0.15;0.03
030.2C2C;0.21;0.05
030.2C2D;0.21;0.04
030.2C2E;0.71;0.19
030.2C5;0.27;0.05
030.42Z;0.37;0.08
030.4A;0.29;0.06
030.4C1;0.14;0.03
030.4CA;0.59;0.15
030.4CB;0.25;0.06
030.4D;0.34;0.09
030.A1;0.02;0
030.A2Z;0.61;0.17
030.AZ;0.45;0.11
030.B0;0.21;0.05
030.BA;0.46;0.1
030.BB3;0.33;0.07
030.C;0.06;0.01
030.D;0.83;0.24
031.12Z;0.17;0.03
031.1A;0.27;0.05
031.1B;0.59;0.14
031.221B;0.33;0.07
031.22B;0.45;0.09
031.2B;0.39;0.08
031.2C;0.28;0.06
031.2D;0.24;0.05
031.32B;0.19;0.04
031.3B;0.43;0.1
031.4B;0.33;0.07
031.4C;0.35;0.07
031.5Z;0.28;0.07
031.62Z;0.58;0.14
031.6Z;0.31;0.07
031.AAAB;0.27;0.06
031.AAC;0.25;0.05
031.AAD;0.41;0.08
031.AB115B;0.29;0.06
031.AB11C;0.33;0.07
031.AB212B;0.39;0.08
031.AB21A31;0.23;0.05
031.AB21A3B;0.28;0.06
031.AB21B;0.41;0.08
031.AB2B;0.46;0.09
031.AD;0.48;0.11
031.BA3;0.21;0.04
031.BB;0.4;0.08
031.CA;0.1;0.02
031.CB;0.41;0.08
031.CC;0.55;0.12
031.D;0.06;0.01
032.4A11;0.09;0.02
032.4A3;0.47;0.09
032.4A5;0.44;0.09
032.4B4;0.15;0.04
032.A3;0.13;0.03
032.B1B;0.58;0.12
032.B1C;0.6;0.14
032.C;0.25;0.05
032.D;0.14;0.03
032.E;0.26;0.05
032.F;0.44;0.11
032.G;0.58;0.13
033.1B;0.66;0.13
033.2Z;0.68;0.18
033.AA;0.45;0.09
033.ABA0;0.17;0.03
033.ABAB;0.41;0.1
033.ABB2B;0.47;0.11
033.AC111A;0.13;0.03
033.AC111B;0.55;0.13
033.AC11AB;0.28;0.06
033.AC11B;0.28;0.06
033.AC1A;0.23;0.05
033.AC1B;0.26;0.05
033.AC211;0.18;0.04
033.AC2A;0.32;0.06
033.AC2B;0.37;0.09
033.ACB;0.35;0.07
033.AD3;0.2;0.04
033.AD5;0.54;0.12
033.B1B;0.63;0.14
033.BB10;0.63;0.13
033.BB1Z;0.33;0.07
033.BB2B;0.53;0.12
033.BC;0.08;0.02
033.C3;0.11;0.02
033.C4B;0.24;0.05
033.C7;0.24;0.05
033.E0;0.25;0.05
033.EA0;0.23;0.05
033.EAZ;0.63;0.17
033.EB;0.77;0.23
033.F0;0.14;0.03
033.FA;0.11;0.02
033.FB;0.76;0.23
033.G;0.25;0.06
035.1A;0.6;0.12
035.2A1;0.27;0.05
035.2A3;0.46;0.11
035.2B;0.59;0.13
035.3AZ;0.46;0.11
035.3B;0.17;0.03
035.3C;0.85;0.29
035.41A;0.42;0.08
035.42Z;0.53;0.12
035.4AAB;0.07;0.01
035.4AAC3;0.22;0.04
035.4AAD;0.58;0.14
035.4AB1B;0.23;0.05
035.4AC;0.2;0.04
035.4AD1B;0.32;0.06
035.4AD2B;0.7;0.18
035.4AD7;0.38;0.09
035.4B31;0.06;0.01
035.4J;0.37;0.08
035.6A;0.19;0.04
035.6B;0.27;0.05
035.6C;0.35;0.08
035.71B;0.39;0.08
035.72B;0.47;0.1
035.7AB;0.57;0.13
035.7B1;0.21;0.04
035.7BB;0.47;0.09
035.7C;0.32;0.07
035.AA0;0.08;0.02
035.AAB;0.55;0.14
035.AB;0.14;0.03
035.AC;0.56;0.12
035.AD;0.27;0.05
035.AE;0.58;0.13
035.B122B;0.24;0.05
035.B1A;0.22;0.04
035.B1B;0.45;0.1
035.BC3;0.16;0.03
035.BD1;0.44;0.09
035.BD5;0.51;0.12
035.C13;0;0
035.C22B;0.41;0.08
035.CA1B;0.26;0.05
035.CA1C;0.53;0.12
035.CF3;0.26;0.06
035.CG;0.46;0.09
035.CH;0.62;0.14
035.D3;0.11;0.02
035.DA;0.11;0.02
035.DB;0.37;0.07
035.DC;0.14;0.03
035.E1;0.06;0.01
035.E2A;0.24;0.05
035.E2B;0.28;0.06
035.E3;0.06;0.01
035.E5;0.16;0.03
035.E7;0.22;0.04
035.EA1;0.21;0.04
035.EA2A;0.24;0.05
035.EA2B;0.4;0.08
035.EC;0.52;0.11
035.F;0.66;0.18
035.H;0.63;0.14
036.1A;0.42;0.08
036.1B;0.33;0.07
036.2Z;0.14;0.03
036.3Z;0.33;0.07
036.A11B;0.35;0.07
036.A1AB;0.3;0.06
036.A1B3;0.43;0.09
036.B11;0.56;0.11
036.B12B;0.33;0.07
036.B1C1;0.27;0.06
036.B1D1;0.09;0.02
036.B1D3;0.34;0.07
036.B1D5;0.35;0.07
036.B1D6;0.19;0.04
036.B2;0.01;0
036.B3B;0.34;0.07
036.B4Z;0.05;0.01
036.B5A1B;0.43;0.09
036.B5C7;0.49;0.1
036.BAB;0.37;0.07
036.BACZ;0.61;0.15
036.BAD;0.67;0.15
036.BAE;0.18;0.04
036.BBB12;0;0
036.BBB3;0.43;0.09
036.BCA;0.55;0.13
036.BD2B;0.53;0.11
036.CB;0.2;0.04
036.CD;0.38;0.08
036.CF1;0.2;0.04
036.CF3;0.2;0.04
036.CF5;0.26;0.05
036.CG;0.4;0.08
036.CH;0.2;0.04
036.D2;0.08;0.01
036.D3;0.42;0.09
036.E1B;0.1;0.02
036.E3AZ;0.11;0.02
036.E3BB;0.31;0.06
036.E4AA;0.14;0.03
036.E4AB;0.4;0.08
036.E4C;0.16;0.03
036.FA;0.46;0.09
036.FC;0.51;0.11
036.FD;0.18;0.04
036.G1B;0.24;0.05
036.G1D;0.44;0.09
036.G1E;0.43;0.1
036.G2;0.36;0.07
036.H1B;0.37;0.07
036.H1C;0.69;0.18
036.HB;0.4;0.09
036.J;0.29;0.06
037.11Z;0.5;0.12
037.1Z;0.46;0.11
037.2C;0.3;0.06
037.2E;0.31;0.07
037.4Z;0.56;0.13
037.5C;0.14;0.03
037.5E;0.23;0.05
037.6B;0.5;0.12
037.AAA;0.13;0.03
037.AAB;0.22;0.04
037.AC;0.26;0.05
037.AD;0.26;0.05
037.B1B;0.17;0.03
037.B3;0.1;0.02
037.BB11;0.12;0.02
037.BB1B;0.47;0.11
037.BBE;0.4;0.09
037.BC3;0.45;0.1
037.BD2;0.08;0.02
037.BD5;0.14;0.03
037.BE;0.25;0.05
037.BF;0.35;0.08
037.BG;0.32;0.06
037.BJ;0.37;0.09
037.BK;0.54;0.12
037.C1A1A;0.26;0.05
037.C1A1B;0.3;0.06
037.C1B;0.52;0.11
037.D1;0.27;0.05
037.DA;0.28;0.06
037.DC;0.37;0.08
037.DD;0.08;0.02
037.E;0.28;0.07
038.1Z;0.59;0.14
038.21Z;0.47;0.11
038.2Z;0.49;0.11
038.3Z;0.22;0.04
038.4B;0.52;0.1
038.5B;0.41;0.08
038.AZ;0.64;0.18
038.C;0.39;0.08
038.D;0.64;0.18
039.1A;0.48;0.1
039.3A;0.37;0.07
039.3B;0.74;0.17
039.4A;0.37;0.07
039.4B;0.25;0.05
039.4C;0.63;0.16
039.5B;0.59;0.14
039.71Z;0.72;0.21
039.8Z;0.66;0.18
041.1A;0.54;0.11
041.1B;0.38;0.08
041.1C;0.17;0.04
041.21Z;0.38;0.09
041.22Z;0.16;0.03
041.2Z;0.12;0.02
041.31Z;0.21;0.04
041.AA1A;0.6;0.14
041.AA2;0.18;0.04
041.AC1;0.1;0.02
041.AC3A1;0.17;0.03
041.AC3A4;0.34;0.07
041.AC3C;0.32;0.06
041.AD;0.48;0.1
041.AE;0.65;0.15
041.C;0.43;0.09
041.D;0.33;0.08
042.31Z;0.49;0.12
042.3Z;0.27;0.06
042.4A;0.06;0.02
042.4B0;0.14;0.03
042.4BC;0.27;0.05
042.5B;0.39;0.08
042.61Z;0.33;0.08
042.711Z;0.5;0.12
042.7B;0.34;0.07
042.8Z;0.42;0.1
042.93B;0.4;0.08
042.93C;0.28;0.06
042.9B;0.09;0.02
042.9C;0.17;0.04
042.A;0.19;0.05
042.B3;0.03;0.01
042.C11;0.14;0.03
042.C1A2;0.28;0.06
042.C1B1;0.28;0.06
042.C1B3;0.19;0.04
042.C1B4;0.18;0.04
042.D11;0.07;0.01
042.D1B;0.52;0.12
042.D2B;0.38;0.08
042.E1;0.27;0.05
042.E2A;0.33;0.07
042.E2B;0.13;0.03
042.F1;0.25;0.05
042.F2C;0.52;0.13
042.F3;0.13;0.03
042.F5;0.1;0.02
042.G;0.37;0.08
043.2Z;0.54;0.13
044.2B;0.32;0.06
044.3A;0.28;0.06
044.3C;0.27;0.06
044.5A;0.34;0.07
044.5B;0.38;0.09
045.2Z;0.09;0.02
045.31Z;0.14;0.02
045.32Z;0.55;0.13
045.4AB;0.43;0.09
045.4AC;0.23;0.05
045.4B4;0.19;0.04
045.4C2;0.09;0.02
045.4C3;0.3;0.06
045.4D;0.75;0.17
046.1Z;0.27;0.06
046.2Z;0.2;0.04
046.32A1A;0.17;0.03
046.32A1B;0.33;0.07
046.32B;0.38;0.08
046.3B10;0.17;0.03
046.3B1Z;0.13;0.03
046.3B2A;0.27;0.05
046.3B2B;0.38;0.08
046.3C1B;0.18;0.04
046.3D;0.4;0.1
046.42Z;0.29;0.06
046.4AA;0.54;0.12
046.4B3;0.12;0.02
046.4BA2A;0.13;0.03
046.4BA3;0.29;0.06
046.4BC;0.2;0.05
046.4BD;0.47;0.1
046.4C;0.57;0.11
046.5Z;0.53;0.14
047.1Z;0.34;0.08
047.2AZ;0.47;0.11
047.2B1;0.08;0.02
047.2B3;0.09;0.02
047.2B4A;0.32;0.06
047.2BA;0.08;0.02
047.2BB11B;0.16;0.03
047.2BB1A;0.17;0.03
047.2BB1B;0.56;0.13
047.2BB2;0.35;0.07
047.2BC1;0.09;0.02
047.2BC4;0.23;0.05
047.2BD3;0.5;0.11
047.2C3;0.24;0.05
047.2C5;0.28;0.06
047.3A;0.18;0.04
047.3B;0.24;0.05
047.3C;0.28;0.06
047.3D3;0.23;0.05
047.3E;0.29;0.06
047.4Z;0.32;0.08
048.2B;0.18;0.04
048.3Z;0.2;0.04
048.41Z;0.3;0.07
048.4Z;0.27;0.05
048.A;0.21;0.04
048.CZ;0.25;0.05
048.DA3;0.1;0.02
048.DA7;0.3;0.06
048.DB2Z;0.46;0.11
048.DC;0.15;0.03
048.DD;0.6;0.12
048.EZ;0.56;0.13
048.F10;0.44;0.1
048.F1A;0.56;0.13
048.F4;0.27;0.05
049.2B;0.38;0.08
049.3A;0.13;0.03
049.3B;0.5;0.1
049.4A;0.37;0.08
049.4C;0.52;0.12
049.A3;0.05;0.01
049.A4A;0.05;0.01
049.A4B1;0.28;0.06
049.A4B3;0.49;0.1
049.A4D;0.36;0.08
049.B1;0.38;0.08
049.B2B;0.34;0.07
049.BA1A;0.56;0.11
049.BA1B;0.17;0.04
049.BB1;0.24;0.05
049.BB5B;0.39;0.08
049.BB5C;0.66;0.18
049.BC1;0.6;0.14
049.BE;0.45;0.09
049.BF;0.66;0.17
049.C1;0.1;0.02
049.C3;0.63;0.15
049.D;0.11;0.02
049.E;0.45;0.09
050.1AZ;0.16;0.03
050.1B3;0.04;0.01
050.1B5;0.09;0.02
050.1B7;0.1;0.02
050.1B8Z;0.12;0.02
050.1BZ;0.36;0.08
050.1C;0.24;0.05
050.1D;0.39;0.08
050.1E;0.54;0.13
050.1G;0.79;0.26
050.2Z;0.3;0.06
050.3A;0.18;0.04
050.421B;0.35;0.07
050.4AA1;0.27;0.05
050.4AA6B;0.43;0.1
050.4B1;0.24;0.05
050.4BB;0.16;0.03
050.4C1B;0.48;0.11
050.4D1;0;0
050.4D2;0;0
050.4D5;0;0
050.4E;0.72;0.21
050.A3;0.26;0.05
050.AA1Z;0.21;0.05
050.AAZ;0.07;0.01
050.ABZ;0.56;0.14
050.ACC;0.32;0.06
050.ADZ;0.62;0.16
050.AE5;0.52;0.1
050.BB;0.32;0.06
050.BC5;0.17;0.03
050.BC7;0.3;0.06
050.CB;0.46;0.09
050.CCZ;0.68;0.2
050.CD1;0.21;0.04
050.CDA;0.1;0.02
050.CDB;0.62;0.16
050.CDC;0.8;0.24
050.CE;0.58;0.15
050.DZ;0.13;0.03
050.F1;0.45;0.09
050.G1;0.25;0.05
050.G3;0.39;0.08
051.11Z;0.34;0.07
051.1A3;0.24;0.05
051.1B1;0.27;0.05
051.1B4B;0.35;0.08
051.1B6A0;0.12;0.02
051.1B6AB;0.46;0.09
051.1B6C;0.29;0.06
051.1B6D;0.42;0.1
051.1C;0.24;0.06
051.1D;0.34;0.08
051.2C;0.27;0.05
051.2D;0.66;0.17
051.3A4B;0.21;0.04
051.3A4C;0.51;0.12
051.3BA;0.43;0.09
051.3BC;0.39;0.08
051.3D3;0;0
051.3D5;0;0
052.1B;0.45;0.09
052.1CZ;0.29;0.06
052.21A3;0.11;0.02
052.21B;0.49;0.1
052.2Z;0.16;0.03
052.312Z;0.17;0.03
052.31Z;0.27;0.05
052.32B;0.27;0.05
052.3A3B;0.35;0.07
052.3A5C;0.3;0.06
052.3B;0.45;0.09
052.4B;0.48;0.1
052.4C;0.35;0.07
052.4D;0.52;0.12
052.51B;0.43;0.09
052.52AA;0.2;0.04
052.52AC;0.28;0.06
052.52AD3;0.12;0.02
052.52AD7;0.26;0.05
052.52B3;0.24;0.05
052.52B5;0.39;0.09
052.5AAA;0.26;0.05
052.5AAB;0.28;0.06
052.5BB;0.31;0.06
052.5D;0.19;0.04
052.5E;0.37;0.08
052.6A;0.24;0.05
052.6C;0.23;0.05
052.72A;0.52;0.1
052.7AA;0.08;0.02
052.7AB;0.57;0.13
052.7B;0.13;0.03
052.7C;0.4;0.1
052.8B;0.27;0.05
052.8D;0.44;0.09
053.1B;0.25;0.05
053.1D;0.26;0.05
053.2Z;0.11;0.02
053.4Z;0.12;0.02
053.5B;0.44;0.09
053.61A;0.6;0.12
053.62Z;0.55;0.13
053.63Z;0.39;0.09
053.7Z;0.44;0.1
053.B;0.6;0.14
053.C2B;0.46;0.09
053.C2C;0.26;0.05
053.D;0.06;0.01
054.6A;0.36;0.07
054.6C;0.57;0.14
055.22B;0.2;0.04
055.2A;0.43;0.1
055.2B;0.11;0.02
055.2C;0.38;0.08
055.2D;0.45;0.1
055.3Z;0.58;0.15
055.51Z;0.29;0.06
055.6Z;0.23;0.05
055.7A;0.23;0.05
055.7C;0.22;0.04
055.7E;0.25;0.05
055.A0;0.07;0.01
055.AZ;0.24;0.06
055.B3;0.06;0.01
055.C1;0.11;0.02
055.C3;0.07;0.01
055.D1;0.18;0.04
055.D21A0;0.07;0.01
055.D21AC;0.25;0.06
055.D21C3;0.25;0.05
055.D21C40;0.28;0.06
055.D21C4B;0.45;0.09
055.D21D;0.17;0.03
055.D2A1;0.08;0.02
055.D2A3;0.3;0.06
055.D2C;0.46;0.1
055.D31;0.07;0.01
055.D32;0;0
055.E;0.38;0.08
055.F;0.34;0.08
056.2A;0.15;0.03
056.2B;0.53;0.11
056.3B;0.51;0.12
057.2Z;0.67;0.18
059.2A;0.46;0.11
059.2B;0.64;0.15
059.3A;0.39;0.08
059.3B;0.73;0.19
060.1B;0.19;0.04
060.52A;0.34;0.07
060.5A1;0.09;0.02
060.5A3;0.12;0.02
060.5B;0.53;0.11
060.6B0;0.16;0.03
060.6BB;0.19;0.04
060.6BD0;0.19;0.04
060.6BDB;0.23;0.05
060.6BDD;0.37;0.07
060.6BE;0.18;0.04
060.6BF;0.43;0.09
060.6BG;0.32;0.06
060.6D;0.34;0.07
060.6F;0.35;0.07
061.1B;0.2;0.04
061.1C;0.24;0.05
061.2AA3;0.11;0.02
061.2AA4;0.2;0.04
061.2AB;0.11;0.02
061.2C;0.38;0.08
061.3B;0.21;0.04
061.3D;0.44;0.09
061.4BB;0.62;0.14
061.4C2B;0.43;0.09
061.4C30;0.25;0.05
061.4C3A;0.17;0.03
061.4C3B;0.34;0.07
061.5B;0.17;0.03
061.5D;0.23;0.05
061.B1;0.07;0.01
061.B5;0.12;0.02
061.C;0.15;0.03
061.D;0.55;0.11
061.E;0.36;0.08
062.3Z;0.33;0.07
062.B0;0.07;0.01
062.BA0;0.05;0.01
062.BB1AZ;0.23;0.05
062.BC;0.53;0.13
062.BE;0.58;0.15
062.C2C;0.4;0.08
062.CA11B;0.25;0.05
062.CA11C;0.4;0.08
062.CA1B;0.35;0.07
062.CA31;0.06;0.01
062.CB;0.48;0.1
062.CC;0.47;0.11
062.D;0.28;0.06
062.E1Z;0.09;0.02
062.FAZ;0.08;0.02
062.FBAZ;0.4;0.09
062.FBC;0.19;0.03
062.FBD;0.7;0.17
062.FC1Z;0.71;0.21
062.FC3;0.47;0.11
062.FC4;0.13;0.02
062.G1;0.15;0.03
062.G3;0.21;0.04
062.GB;0.46;0.09
062.H3;0.21;0.04
062.H4B;0.44;0.1
062.J;0.31;0.07
063.1Z;0.31;0.06
063.A1C;0.15;0.03
063.B10;0.15;0.03
063.BA1A;0.28;0.06
063.BA1B;0.28;0.06
063.BA1C;0.12;0.02
063.BA2;0.08;0.02
063.BB11;0.32;0.06
063.BB1B11;0.24;0.05
063.BB1B1Z;0.4;0.08
063.BB1C;0.35;0.07
063.BB1D;0.58;0.14
063.BC;0.64;0.14
063.C2A;0.26;0.05
063.C5C;0.15;0.03
063.D1;0.29;0.06
063.D3;0.52;0.12
064.4Z;0.32;0.08
064.5B;0.55;0.13
064.7A;0.19;0.04
064.7B;0.51;0.1
064.A7;0.23;0.05
064.AAAB;0.5;0.12
064.AAC;0.15;0.03
064.AB0;0.1;0.02
064.ABC3;0.34;0.07
064.ACA;0.44;0.1
064.ACB;0.14;0.03
064.AE;0.47;0.1
064.BAB;0.43;0.1
064.BB1B;0.26;0.05
064.BBB;0.39;0.08
064.BC5;0.14;0.03
064.BD;0.66;0.17
064.C3B;0.3;0.06
064.C4B32;0;0
064.C4B5;0.29;0.06
064.C4B6B;0.29;0.06
064.C4B72;0;0
064.C50;0.21;0.04
064.C5B;0.44;0.09
064.C5C;0.49;0.12
064.C6B;0.55;0.12
064.CB0;0.19;0.04
064.CBA;0.27;0.06
064.CBB;0.64;0.15
064.CC;0.51;0.12
064.D3;0.27;0.05
065.1Z;0.35;0.07
065.21Z;0.21;0.04
065.2A;0.62;0.14
065.7Z;0.5;0.12
066.5A;0.24;0.05
066.5B;0.27;0.05
066.5C;0.5;0.1
067.1Z;0.51;0.12
067.2A1C;0.19;0.04
067.2A5;0.05;0.01
067.2B10;0.22;0.04
067.2B1A;0.16;0.03
067.2B1B;0.5;0.12
067.2C1;0.25;0.06
067.2C3;0.09;0.02
067.2C4;0.19;0.04
067.2D32;0;0
067.2E1;0.3;0.06
067.2E2Z;0.35;0.07
067.2E9;0.06;0.01
067.2EB;0.4;0.08
067.2EC;0.6;0.15
067.2F;0.3;0.06
067.2G;0.3;0.07
067.31B;0.39;0.09
067.3A0;0.03;0.01
067.3AA1;0.15;0.03
067.3AA50;0.22;0.05
067.3AA5B;0.22;0.04
067.3AA7;0.09;0.02
067.3AB11;0.18;0.03
067.3AB1B;0.44;0.09
067.3AC1;0.14;0.03
067.3AC30;0.15;0.03
067.3AC3B;0.64;0.16
067.3AC50;0.09;0.02
067.3AC5A;0.29;0.07
067.3AC5B;0.51;0.12
067.3B1;0.11;0.02
067.3B2B1;0.19;0.04
067.3B2B3;0.27;0.05
067.3B2D;0.53;0.13
067.3BA3;0.15;0.03
067.3BB1;0.15;0.03
067.3C10;0.33;0.07
067.3C1B;0.41;0.08
067.3DA;0.1;0.02
067.3DB1;0.5;0.1
067.3DB2B;0.35;0.07
067.3DC;0.5;0.12
067.3F;0.27;0.05
067.3G;0.18;0.04
067.3H;0.39;0.08
067.4Z;0.17;0.03
067.5Z;0.12;0.02
067.6A;0.38;0.09
067.6B;0.54;0.13
068.1Z;0.69;0.19
068.62Z;0.14;0.03
068.6Z;0.44;0.09
068.7Z;0.27;0.06
068.9A;0.64;0.13
068.9C;0.45;0.09
068.9D;0.19;0.04
069.2Z;0.35;0.07
069.31Z;0.08;0.02
069.3Z;0.15;0.04
069.41Z;0.19;0.04
069.4C1;0.14;0.03
069.4C2A;0.28;0.06
069.4C2B3;0.63;0.16
069.4D;0.46;0.09
069.51AB1;0.35;0.07
069.51B;0.41;0.1
069.51C;0.23;0.04
069.5A;0.58;0.13
069.5B;0.12;0.02
069.72AB;0.48;0.1
069.72B3;0.45;0.09
069.7AB;0.33;0.07
069.7AC;0.47;0.09
069.7BB;0.42;0.08
069.7BC;0.46;0.09
069.7C;0.33;0.07
069.7D;0.17;0.03
069.8A1;0.3;0.06
069.8A2Z;0.57;0.13
069.8B;0.21;0.04
069.8C;0.23;0.05
069.8D;0.5;0.12
070.1Z;0.5;0.12
070.2B;0.57;0.14
070.3Z;0.2;0.04
070.51Z;0.15;0.03
070.5AAB;0.35;0.07
070.5AB;0.13;0.03
070.5AC1Z;0.24;0.05
070.5AD1;0.49;0.1
070.5B2B;0.39;0.08
070.5BB;0.35;0.07
070.5BC;0.54;0.12
070.5BD;0.2;0.04
070.5D;0.4;0.08
070.6B;0.19;0.04
070.AB5;0.2;0.04
070.AC;0.33;0.07
070.AE;0.19;0.04
070.BA5;0.27;0.05
070.CB;0.61;0.14
070.D1;0.08;0.02
070.E1;0.53;0.11
070.E4Z;0.28;0.06
071.1Z;0.19;0.04
071.2Z;0.12;0.02
071.42Z;0.16;0.03
071.4Z;0.08;0.02
071.5Z;0.27;0.06
071.A2Z;0.43;0.09
071.AB0;0.14;0.03
071.ABA21B;0.45;0.09
071.AC11;0.17;0.03
071.AC12B;0.51;0.12
071.AC1B;0.21;0.04
071.AD;0.44;0.09
071.C;0.15;0.03
072.1Z;0.19;0.04
