regine;c_wood_mg/l_tot-p;c_upland_mg/l_tot-p;c_lake_kg/km2_tot-p;c_urban_kg/km2_tot-p;c_city_kg/km2_tot-p;c_wood_mg/l_tot-n;c_upland_mg/l_tot-n;c_lake_kg/km2_tot-n;c_urban_kg/km2_tot-n;c_city_kg/km2_tot-n
002.C2;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.C3;0.006;0.005;30;50;100;0.5;0.25;700;350;700
002.C40;0.006;0.005;30;50;100;0.5;0.3;700;350;700
002.C4A;0.006;0.005;30;50;100;0.4;0.25;700;350;700
002.C4B;0.006;0.005;30;50;100;0.4;0.25;700;350;700
002.C4C;0.006;0.005;30;50;100;0.4;0.25;700;350;700
002.C4D;0.006;0.005;30;50;100;0.4;0.25;700;350;700
002.C5;0.006;0.005;30;50;100;0.4;0.25;700;350;700
002.C6;0.006;0.005;30;50;100;0.4;0.25;700;350;700
002.C7;0.006;0.005;30;50;100;0.4;0.25;700;350;700
002.C8;0.006;0.005;30;50;100;0.4;0.25;700;350;700
002.CA0;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.CAA0;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.CAAA0;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.CAAAZ;0.006;0.004;35;50;100;0.35;0.25;700;350;700
002.CAAB;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.CAAC;0.006;0.004;35;50;100;0.35;0.25;700;350;700
002.CAB1;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.CAB2;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.CABA;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CABB;0.006;0.004;35;50;100;0.35;0.25;700;350;700
002.CAC;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CAD1;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CAD2;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CAD3;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CAD4;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CAD5;0.005;0.005;35;50;100;0.35;0.25;700;350;700
002.CAD6;0.005;0.005;35;50;100;0.35;0.25;700;350;700
002.CAE1;0.005;0.005;35;50;100;0.35;0.25;700;350;700
002.CAE2;0.005;0.005;35;50;100;0.35;0.25;700;350;700
002.CAE3;0.005;0.005;35;50;100;0.35;0.25;700;350;700
002.CAE4;0.005;0.005;35;50;100;0.35;0.25;700;350;700
002.CAE5;0.005;0.005;35;50;100;0.35;0.25;700;350;700
002.CAE6;0.005;0.005;35;50;100;0.35;0.25;700;350;700
002.CB0;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.CBA0;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.CBAA;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.CBAB;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.CBB1;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.CBB2;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.CBB3;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.CBB4;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.CBB5;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.CBB6;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.CBC;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.CC0;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.CCZ;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CD10;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CD1A;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CD1B;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CD2;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CDA;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CDB;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CE0;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CEA1;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CEA21;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CEA22;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CEA2A;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CEA2B;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CEA3;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CEA4;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CEA5;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CEA60;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CEA6A;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CEA6B;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CEB;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CF0;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.CFZ;0.006;0.004;35;50;100;0.35;0.25;700;350;700
002.CG;0.006;0.004;35;50;100;0.35;0.25;700;350;700
002.CH;0.006;0.004;35;50;100;0.35;0.25;700;350;700
002.D1;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.D21;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.D22;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.D2Z;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.D31;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.D32;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.D3Z;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.D4;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.D5;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.D6;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.DA1;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.DA2;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.DA3;0.006;0.005;35;50;100;0.4;0.25;700;350;700
002.DA4;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DA51;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DA52;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DA5Z;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DA6;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DAA111;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DAA112;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DAA12;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DAA1Z;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DAA211;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DAA212;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DAA22;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DAA2Z;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DAA31;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DAA32;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DAA41;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DAA42;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DAB1;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DAB20;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DAB2A;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DAB2B;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DAB2C;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DAB3;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DAB4;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DAB9;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DABA;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DABB;0.006;0.005;35;50;100;0.35;0.25;700;350;700
002.DABC;0.005;0.005;35;50;100;0.35;0.25;700;350;700
002.DAC10;0.006;0.006;35;50;100;0.35;0.25;700;350;700
002.DAC1A;0.006;0.006;35;50;100;0.35;0.25;700;350;700
002.DAC1B;0.006;0.006;35;50;100;0.35;0.25;700;350;700
002.DAC1C;0.006;0.006;35;50;100;0.35;0.25;700;350;700
002.DAC2;0.006;0.006;35;50;100;0.35;0.25;700;350;700
002.DAC3;0.006;0.006;35;50;100;0.35;0.25;700;350;700
002.DAC4;0.006;0.006;35;50;100;0.35;0.25;700;350;700
002.DAD;0.006;0.006;35;50;100;0.35;0.25;700;350;700
002.DAE;0.005;0.005;35;50;100;0.35;0.25;700;350;700
