regine;regine_ned;a_reg_km2;q_sp_m3/s/km2;runoff_mm/yr;q_reg_m3/s;vassom;komnr;fylke;ospar_region
012.CDA2Z;012.CDA22;34.4200;0.019000;599.1840;0.653980;12;619;6;Skagerrak
012.CDB11;012.CDA22;14.8400;0.012000;378.4320;0.178080;12;618;6;Skagerrak
012.CDB12;012.CDB11;14.2600;0.012000;378.4320;0.171120;12;618;6;Skagerrak
012.CDB13;012.CDB12;0.9600;0.010000;315.3600;0.009600;12;618;6;Skagerrak
012.CDB210;012.CDB13;12.3800;0.016000;504.5760;0.198080;12;618;6;Skagerrak
012.CDB21Z;012.CDB210;15.2300;0.020000;630.7200;0.304600;12;618;6;Skagerrak
012.CDB220;012.CDB210;3.8900;0.014000;441.5040;0.054460;12;618;6;Skagerrak
012.CDB22Z;012.CDB220;6.1900;0.028000;883.0080;0.173320;12;618;6;Skagerrak
012.CDB23;012.CDB220;2.4000;0.013000;409.9680;0.031200;12;618;6;Skagerrak
012.CDB2A;012.CDB23;13.3800;0.021000;662.2560;0.280980;12;618;6;Skagerrak
012.CDB2B;012.CDB2A;10.2500;0.029000;914.5440;0.297250;12;618;6;Skagerrak
012.CDB2C;012.CDB2B;14.8100;0.029000;914.5440;0.429490;12;619;6;Skagerrak
012.CDB31;012.CDB23;8.9100;0.015000;473.0400;0.133650;12;618;6;Skagerrak
012.CDB32;012.CDB31;7.8200;0.020000;630.7200;0.156400;12;618;6;Skagerrak
012.CDB3Z;012.CDB32;28.0600;0.030000;946.0800;0.841800;12;618;6;Skagerrak
012.CDB4;012.CDB32;20.2000;0.017000;536.1120;0.343400;12;618;6;Skagerrak
012.CDBA1;012.CDB4;13.2400;0.023000;725.3280;0.304520;12;618;6;Skagerrak
012.CDBA2;012.CDBA1;4.1400;0.016000;504.5760;0.066240;12;618;6;Skagerrak
012.CDBA3;012.CDBA2;6.4200;0.020000;630.7200;0.128400;12;618;6;Skagerrak
012.CDBA4;012.CDBA3;14.3800;0.024000;756.8640;0.345120;12;618;6;Skagerrak
012.CDBAA;012.CDBA4;17.2900;0.027000;851.4720;0.466830;12;618;6;Skagerrak
012.CDBAB;012.CDBAA;19.9000;0.028000;883.0080;0.557200;12;618;6;Skagerrak
012.CDBAC;012.CDBAB;20.9200;0.035000;1103.7600;0.732200;12;618;6;Skagerrak
012.CDBB0;012.CDBA4;14.5700;0.021000;662.2560;0.305970;12;618;6;Skagerrak
012.CDBBZ;012.CDBB0;42.5700;0.027000;851.4720;1.149390;12;618;6;Skagerrak
012.CDBC;012.CDBB0;89.8900;0.030000;946.0800;2.696700;12;618;6;Skagerrak
012.CDC0;012.CDB4;6.5500;0.016000;504.5760;0.104800;12;618;6;Skagerrak
012.CDCA1;012.CDC0;6.7600;0.024000;756.8640;0.162240;12;618;6;Skagerrak
012.CDCA21;012.CDCA1;13.5200;0.024000;756.8640;0.324480;12;618;6;Skagerrak
012.CDCA22;012.CDCA21;1.7200;0.024000;756.8640;0.041280;12;619;6;Skagerrak
012.CDCA2A;012.CDCA22;1.2300;0.024000;756.8640;0.029520;12;619;6;Skagerrak
012.CDCA2B;012.CDCA2A;15.6300;0.030000;946.0800;0.468900;12;619;6;Skagerrak
012.CDCB1;012.CDCA22;22.5200;0.028000;883.0080;0.630560;12;619;6;Skagerrak
012.CDCB2;012.CDCB1;62.1000;0.031000;977.6160;1.925100;12;619;6;Skagerrak
012.CDCC;012.CDCB2;43.9000;0.030000;946.0800;1.317000;12;619;6;Skagerrak
012.CDCD;012.CDCC;55.3500;0.033000;1040.6880;1.826550;12;619;6;Skagerrak
012.CDD1;012.CDC0;45.2100;0.025000;788.4000;1.130250;12;618;6;Skagerrak
012.CDD21;012.CDD1;40.2500;0.028000;883.0080;1.127000;12;618;6;Skagerrak
012.CDD22;012.CDD21;6.6000;0.028000;883.0080;0.184800;12;618;6;Skagerrak
012.CDD2Z;012.CDD22;47.3900;0.034000;1072.2240;1.611260;12;618;6;Skagerrak
012.CE1;012.CD6;39.8100;0.013000;409.9680;0.517530;12;617;6;Skagerrak
012.CE20;012.CE1;38.3400;0.010000;315.3600;0.383400;12;617;6;Skagerrak
012.CE2A1;012.CE20;0.3400;0.007000;220.7520;0.002380;12;619;6;Skagerrak
012.CE2A2;012.CE2A1;0.9800;0.009000;283.8240;0.008820;12;619;6;Skagerrak
012.CE2A3;012.CE2A2;0.2300;0.008000;252.2880;0.001840;12;619;6;Skagerrak
012.CE2A4;012.CE2A3;1.1500;0.009000;283.8240;0.010350;12;619;6;Skagerrak
012.CE2B;012.CE2A4;44.8200;0.015000;473.0400;0.672300;12;619;6;Skagerrak
012.CE30;012.CE20;23.0800;0.012000;378.4320;0.276960;12;619;6;Skagerrak
012.CE3A11;012.CE30;2.7400;0.011000;346.8960;0.030140;12;619;6;Skagerrak
012.CE3A120;012.CE3A11;7.4500;0.012000;378.4320;0.089400;12;619;6;Skagerrak
012.CE3A12A;012.CE3A120;5.2300;0.016000;504.5760;0.083680;12;619;6;Skagerrak
012.CE3A12B;012.CE3A12A;16.2100;0.019000;599.1840;0.307990;12;619;6;Skagerrak
012.CE3A13;012.CE3A120;1.9400;0.013000;409.9680;0.025220;12;619;6;Skagerrak
012.CE3A21;012.CE3A13;0.3700;0.008000;252.2880;0.002960;12;619;6;Skagerrak
012.CE3A220;012.CE3A21;6.7300;0.013000;409.9680;0.087490;12;619;6;Skagerrak
012.CE3A22Z;012.CE3A220;5.4200;0.016000;504.5760;0.086720;12;619;6;Skagerrak
012.CE3B;012.CE3A220;89.7400;0.024000;756.8640;2.153760;12;619;6;Skagerrak
012.CE4;012.CE30;6.0500;0.008000;252.2880;0.048400;12;619;6;Skagerrak
012.CE5;012.CE4;10.3600;0.009000;283.8240;0.093240;12;619;6;Skagerrak
012.CE6;012.CE5;22.5500;0.010000;315.3600;0.225500;12;619;6;Skagerrak
012.CEA11;012.CE6;0.4800;0.009000;283.8240;0.004320;12;619;6;Skagerrak
012.CEA12;012.CEA11;1.4200;0.013000;409.9680;0.018460;12;619;6;Skagerrak
012.CEA21;012.CEA12;0.2700;0.008000;252.2880;0.002160;12;619;6;Skagerrak
012.CEA22;012.CEA21;0.2800;0.009000;283.8240;0.002520;12;619;6;Skagerrak
012.CEA3;012.CEA22;10.1200;0.013000;409.9680;0.131560;12;619;6;Skagerrak
012.CEA4;012.CEA3;10.1800;0.016000;504.5760;0.162880;12;619;6;Skagerrak
012.CEA5;012.CEA4;18.3700;0.017000;536.1120;0.312290;12;619;6;Skagerrak
012.CEA6;012.CEA5;9.4600;0.017000;536.1120;0.160820;12;619;6;Skagerrak
012.CEAZ;012.CEA6;35.9700;0.025000;788.4000;0.899250;12;619;6;Skagerrak
012.CEB0;012.CEA6;46.9800;0.019000;599.1840;0.892620;12;619;6;Skagerrak
012.CEBA;012.CEB0;6.4200;0.019000;599.1840;0.121980;12;619;6;Skagerrak
012.CEBB;012.CEBA;8.0300;0.024000;756.8640;0.192720;12;620;6;Skagerrak
012.CEBC;012.CEBB;26.1600;0.025000;788.4000;0.654000;12;620;6;Skagerrak
012.CEC11;012.CEB0;2.3500;0.021000;662.2560;0.049350;12;619;6;Skagerrak
012.CEC12;012.CEC11;0.3300;0.020000;630.7200;0.006600;12;619;6;Skagerrak
012.CEC1A;012.CEC12;1.6200;0.023000;725.3280;0.037260;12;619;6;Skagerrak
012.CEC1B;012.CEC1A;7.1900;0.025000;788.4000;0.179750;12;619;6;Skagerrak
012.CEC1C;012.CEC1B;20.7100;0.032000;1009.1520;0.662720;12;619;6;Skagerrak
012.CEC2;012.CEC12;4.7800;0.021000;662.2560;0.100380;12;619;6;Skagerrak
012.CED1;012.CEC2;8.6500;0.024000;756.8640;0.207600;12;619;6;Skagerrak
012.CED2;012.CED1;7.0500;0.022000;693.7920;0.155100;12;619;6;Skagerrak
012.CED3;012.CED2;22.2200;0.029000;914.5440;0.644380;12;619;6;Skagerrak
012.CED4;012.CED3;0.3900;0.024000;756.8640;0.009360;12;619;6;Skagerrak
012.CEE1;012.CED4;0.4900;0.024000;756.8640;0.011760;12;619;6;Skagerrak
012.CEE2;012.CEE1;1.6000;0.024000;756.8640;0.038400;12;620;6;Skagerrak
012.CEE3;012.CEE2;0.2600;0.023000;725.3280;0.005980;12;620;6;Skagerrak
012.CEE4;012.CEE3;0.4700;0.024000;756.8640;0.011280;12;620;6;Skagerrak
012.CEE5;012.CEE4;0.7200;0.023000;725.3280;0.016560;12;619;6;Skagerrak
012.CEE6;012.CEE5;4.4700;0.025000;788.4000;0.111750;12;620;6;Skagerrak
012.CEE7;012.CEE6;9.7400;0.026000;819.9360;0.253240;12;619;6;Skagerrak
012.CEE8;012.CEE7;4.2900;0.024000;756.8640;0.102960;12;619;6;Skagerrak
012.CEF;012.CEE8;11.5300;0.035000;1103.7600;0.403550;12;619;6;Skagerrak
012.CF1;012.CE6;7.6900;0.012000;378.4320;0.092280;12;619;6;Skagerrak
012.CF2;012.CF1;7.7300;0.010000;315.3600;0.077300;12;619;6;Skagerrak
012.CF31;012.CF2;2.1300;0.013000;409.9680;0.027690;12;619;6;Skagerrak
012.CF32;012.CF31;14.6200;0.014000;441.5040;0.204680;12;619;6;Skagerrak
012.CF3Z;012.CF32;58.0800;0.019000;599.1840;1.103520;12;619;6;Skagerrak
012.CF41;012.CF32;0.0900;0.007000;220.7520;0.000630;12;619;6;Skagerrak
012.CF421;012.CF41;0.0300;0.011000;346.8960;0.000330;12;619;6;Skagerrak
012.CF422;012.CF421;38.3400;0.014000;441.5040;0.536760;12;619;6;Skagerrak
012.CF4A;012.CF422;0.2800;0.008000;252.2880;0.002240;12;619;6;Skagerrak
012.CF4B;012.CF4A;2.2600;0.014000;441.5040;0.031640;12;619;6;Skagerrak
012.CF4C;012.CF4B;13.9000;0.016000;504.5760;0.222400;12;619;6;Skagerrak
012.CF4D;012.CF4C;22.2600;0.017000;536.1120;0.378420;12;619;6;Skagerrak
012.CF5;012.CF422;6.1300;0.015000;473.0400;0.091950;12;620;6;Skagerrak
012.CF6;012.CF5;21.7800;0.016000;504.5760;0.348480;12;619;6;Skagerrak
012.CFA1;012.CF6;4.7700;0.016000;504.5760;0.076320;12;620;6;Skagerrak
012.CFA2;012.CFA1;1.9400;0.012000;378.4320;0.023280;12;620;6;Skagerrak
012.CFA3;012.CFA2;13.2200;0.018000;567.6480;0.237960;12;620;6;Skagerrak
012.CFA4;012.CFA3;10.1900;0.016000;504.5760;0.163040;12;620;6;Skagerrak
012.CFA5;012.CFA4;10.5100;0.021000;662.2560;0.220710;12;620;6;Skagerrak
012.CFA6;012.CFA5;0.3300;0.010000;315.3600;0.003300;12;620;6;Skagerrak
012.CFA7;012.CFA6;3.6200;0.014000;441.5040;0.050680;12;620;6;Skagerrak
012.CFA8;012.CFA7;4.3900;0.018000;567.6480;0.079020;12;620;6;Skagerrak
012.CFB110;012.CFA8;8.8300;0.020000;630.7200;0.176600;12;620;6;Skagerrak
012.CFB11A0;012.CFB110;0.0500;0.013000;409.9680;0.000650;12;620;6;Skagerrak
012.CFB11AA;012.CFB11A0;5.0600;0.017000;536.1120;0.086020;12;620;6;Skagerrak
012.CFB11AB;012.CFB11AA;4.6800;0.024000;756.8640;0.112320;12;620;6;Skagerrak
012.CFB11B;012.CFB11A0;1.6700;0.020000;630.7200;0.033400;12;620;6;Skagerrak
012.CFB11C;012.CFB11B;10.4800;0.025000;788.4000;0.262000;12;620;6;Skagerrak
012.CFB12;012.CFB110;0.7900;0.013000;409.9680;0.010270;12;620;6;Skagerrak
012.CFB21;012.CFB12;15.4600;0.020000;630.7200;0.309200;12;620;6;Skagerrak
012.CFB22;012.CFB21;9.3900;0.021000;662.2560;0.197190;12;620;6;Skagerrak
012.CFBA;012.CFB22;25.7000;0.021000;662.2560;0.539700;12;620;6;Skagerrak
012.CFBB0;012.CFBA;3.5300;0.023000;725.3280;0.081190;12;620;6;Skagerrak
012.CFBBZ;012.CFBB0;40.3100;0.032000;1009.1520;1.289920;12;620;6;Skagerrak
012.CFBC11;012.CFBB0;2.6300;0.025000;788.4000;0.065750;12;620;6;Skagerrak
012.CFBC12;012.CFBC11;2.0500;0.024000;756.8640;0.049200;12;620;6;Skagerrak
012.CFBC1A;012.CFBC12;1.9300;0.024000;756.8640;0.046320;12;620;6;Skagerrak
012.CFBC1B;012.CFBC1A;11.1300;0.025000;788.4000;0.278250;12;620;6;Skagerrak
012.CFBC1C;012.CFBC1B;4.9700;0.024000;756.8640;0.119280;12;620;6;Skagerrak
012.CFBC1D;012.CFBC1C;8.6500;0.028000;883.0080;0.242200;12;619;6;Skagerrak
012.CFBC1E;012.CFBC1D;7.5600;0.033000;1040.6880;0.249480;12;619;6;Skagerrak
012.CFBC2;012.CFBC12;4.4300;0.026000;819.9360;0.115180;12;620;6;Skagerrak
012.CFBD;012.CFBC2;11.1200;0.025000;788.4000;0.278000;12;620;6;Skagerrak
012.CFBE11;012.CFBD;0.3100;0.023000;725.3280;0.007130;12;620;6;Skagerrak
012.CFBE12;012.CFBE11;2.0900;0.024000;756.8640;0.050160;12;620;6;Skagerrak
012.CFBE1A;012.CFBE12;0.4500;0.024000;756.8640;0.010800;12;620;6;Skagerrak
012.CFBE1B;012.CFBE1A;0.8100;0.024000;756.8640;0.019440;12;620;6;Skagerrak
012.CFBE1C;012.CFBE1B;5.9400;0.025000;788.4000;0.148500;12;619;6;Skagerrak
012.CFBE21;012.CFBE12;1.0800;0.023000;725.3280;0.024840;12;620;6;Skagerrak
012.CFBE22;012.CFBE21;2.0900;0.024000;756.8640;0.050160;12;620;6;Skagerrak
012.CFBE2A;012.CFBE22;4.6500;0.028000;883.0080;0.130200;12;620;6;Skagerrak
012.CFBE2B;012.CFBE2A;10.9600;0.031000;977.6160;0.339760;12;620;6;Skagerrak
012.CFBE2C;012.CFBE2B;6.6800;0.034000;1072.2240;0.227120;12;620;6;Skagerrak
012.CFBF11;012.CFBE22;18.4400;0.029000;914.5440;0.534760;12;619;6;Skagerrak
012.CFBF12;012.CFBF11;3.3100;0.027000;851.4720;0.089370;12;619;6;Skagerrak
012.CFBF1Z;012.CFBF12;48.0600;0.033000;1040.6880;1.585980;12;619;6;Skagerrak
012.CFBF2;012.CFBF12;3.6700;0.025000;788.4000;0.091750;12;620;6;Skagerrak
012.CFBF3;012.CFBF2;1.5100;0.026000;819.9360;0.039260;12;619;6;Skagerrak
012.CFBF4;012.CFBF3;37.5300;0.031000;977.6160;1.163430;12;620;6;Skagerrak
012.CFBG1;012.CFBF4;2.1400;0.029000;914.5440;0.062060;12;619;6;Skagerrak
012.CFBG2;012.CFBG1;1.5700;0.028000;883.0080;0.043960;12;620;6;Skagerrak
012.CFBG3;012.CFBG2;4.6200;0.029000;914.5440;0.133980;12;619;6;Skagerrak
012.CFBG4;012.CFBG3;10.9400;0.034000;1072.2240;0.371960;12;619;6;Skagerrak
012.CFBG5;012.CFBG4;12.2700;0.033000;1040.6880;0.404910;12;619;6;Skagerrak
012.CFBG6;012.CFBG5;39.1100;0.034000;1072.2240;1.329740;12;619;6;Skagerrak
012.CFC1;012.CFB22;1.0400;0.014000;441.5040;0.014560;12;620;6;Skagerrak
012.CFC21;012.CFC1;1.4300;0.019000;599.1840;0.027170;12;620;6;Skagerrak
012.CFC22;012.CFC21;1.5800;0.016000;504.5760;0.025280;12;620;6;Skagerrak
012.CFC2A0;012.CFC22;6.0200;0.024000;756.8640;0.144480;12;620;6;Skagerrak
012.CFC2AA0;012.CFC2A0;3.2700;0.025000;788.4000;0.081750;12;620;6;Skagerrak
012.CFC2AAA;012.CFC2AA0;0.0300;0.021000;662.2560;0.000630;12;620;6;Skagerrak
012.CFC2AAB;012.CFC2AAA;3.0000;0.028000;883.0080;0.084000;12;620;6;Skagerrak
012.CFC2AB0;012.CFC2AA0;0.3100;0.027000;851.4720;0.008370;12;620;6;Skagerrak
012.CFC2ABZ;012.CFC2AB0;4.6700;0.029000;914.5440;0.135430;12;620;6;Skagerrak
012.CFC2AC;012.CFC2AB0;5.3300;0.033000;1040.6880;0.175890;12;620;6;Skagerrak
012.CFC2B;012.CFC2A0;27.3300;0.035000;1103.7600;0.956550;12;620;6;Skagerrak
012.CFC2C;012.CFC2B;9.4500;0.040000;1261.4400;0.378000;12;620;6;Skagerrak
012.CFC3;012.CFC22;4.6300;0.017000;536.1120;0.078710;12;620;6;Skagerrak
012.CFC4;012.CFC3;10.0400;0.020000;630.7200;0.200800;12;620;6;Skagerrak
012.CFC5;012.CFC4;20.9900;0.024000;756.8640;0.503760;12;620;6;Skagerrak
012.CFC6;012.CFC5;9.4800;0.025000;788.4000;0.237000;12;620;6;Skagerrak
012.CFD1;012.CFC6;44.0400;0.029000;914.5440;1.277160;12;620;6;Skagerrak
012.CFD21;012.CFD1;59.1400;0.032000;1009.1520;1.892480;12;620;6;Skagerrak
012.CFD22;012.CFD21;50.7900;0.030000;946.0800;1.523700;12;620;6;Skagerrak
012.CFD2Z;012.CFD22;37.6800;0.040000;1261.4400;1.507200;12;620;6;Skagerrak
012.CFE;012.CFD22;61.6900;0.047000;1482.1920;2.899430;12;620;6;Skagerrak
012.CFF;012.CFE;15.8900;0.056000;1766.0160;0.889840;12;1233;12;Skagerrak
012.CG11;012.CF6;0.7500;0.011000;346.8960;0.008250;12;620;6;Skagerrak
012.CG12;012.CG11;24.3600;0.019000;599.1840;0.462840;12;620;6;Skagerrak
012.CG1Z;012.CG12;45.5700;0.028000;883.0080;1.275960;12;620;6;Skagerrak
012.CG21;012.CG12;4.8700;0.015000;473.0400;0.073050;12;620;6;Skagerrak
012.CG22;012.CG21;22.2300;0.017000;536.1120;0.377910;12;620;6;Skagerrak
012.CG3;012.CG22;2.8600;0.016000;504.5760;0.045760;12;620;6;Skagerrak
012.CG4;012.CG3;15.1400;0.018000;567.6480;0.272520;12;620;6;Skagerrak
012.CG5;012.CG4;4.8600;0.019000;599.1840;0.092340;12;620;6;Skagerrak
012.CG6;012.CG5;15.0400;0.021000;662.2560;0.315840;12;620;6;Skagerrak
012.CG7;012.CG6;36.9100;0.028000;883.0080;1.033480;12;620;6;Skagerrak
012.CG8;012.CG7;16.5600;0.023000;725.3280;0.380880;12;620;6;Skagerrak
012.CH1;012.CG8;75.8500;0.029000;914.5440;2.199650;12;620;6;Skagerrak
012.CH2;012.CH1;40.6100;0.025000;788.4000;1.015250;12;620;6;Skagerrak
012.CH3;012.CH2;13.6900;0.027000;851.4720;0.369630;12;620;6;Skagerrak
012.CH4;012.CH3;5.8700;0.025000;788.4000;0.146750;12;620;6;Skagerrak
012.CH9;012.CH4;3.9400;0.023000;725.3280;0.090620;12;620;6;Skagerrak
012.CHA;012.CH9;9.3200;0.027000;851.4720;0.251640;12;620;6;Skagerrak
012.CHB;012.CHA;40.5000;0.029000;914.5440;1.174500;12;620;6;Skagerrak
012.CHC;012.CHB;35.0000;0.027000;851.4720;0.945000;12;620;6;Skagerrak
012.CJ10;012.CH9;9.9500;0.024000;756.8640;0.238800;12;620;6;Skagerrak
012.CJ1A;012.CJ10;20.2700;0.032000;1009.1520;0.648640;12;620;6;Skagerrak
012.CJ1B;012.CJ1A;3.8100;0.031000;977.6160;0.118110;12;620;6;Skagerrak
012.CJ1C;012.CJ1B;16.3600;0.037000;1166.8320;0.605320;12;620;6;Skagerrak
012.CJ2;012.CJ10;9.5200;0.026000;819.9360;0.247520;12;620;6;Skagerrak
012.CJ3;012.CJ2;2.5700;0.027000;851.4720;0.069390;12;620;6;Skagerrak
012.CJ4;012.CJ3;8.0600;0.031000;977.6160;0.249860;12;620;6;Skagerrak
012.CJA;012.CJ4;16.8900;0.036000;1135.2960;0.608040;12;620;6;Skagerrak
012.CJB;012.CJA;21.3200;0.049000;1545.2640;1.044680;12;620;6;Skagerrak
012.CK11;012.CJ4;1.0000;0.026000;819.9360;0.026000;12;620;6;Skagerrak
012.CK12;012.CK11;2.9600;0.034000;1072.2240;0.100640;12;620;6;Skagerrak
012.CK13;012.CK12;25.0900;0.043000;1356.0480;1.078870;12;620;6;Skagerrak
012.CK14;012.CK13;8.5700;0.053000;1671.4080;0.454210;12;1233;12;Skagerrak
012.CK21;012.CK14;1.9500;0.031000;977.6160;0.060450;12;620;6;Skagerrak
012.CK22;012.CK21;7.3000;0.038000;1198.3680;0.277400;12;1233;12;Skagerrak
012.CK23;012.CK22;24.9800;0.043000;1356.0480;1.074140;12;1233;12;Skagerrak
012.CK24;012.CK23;22.0400;0.057000;1797.5520;1.256280;12;1233;12;Skagerrak
012.CK3;012.CK24;34.9800;0.059000;1860.6240;2.063820;12;1233;12;Skagerrak
012.CK4;012.CK3;10.5400;0.056000;1766.0160;0.590240;12;1233;12;Skagerrak
012.CK5;012.CK4;14.6800;0.059000;1860.6240;0.866120;12;1233;12;Skagerrak
012.CK6;012.CK5;9.3900;0.060000;1892.1600;0.563400;12;1233;12;Skagerrak
012.D11;012.C4;0.0500;0.006000;189.2160;0.000300;12;623;6;Skagerrak
012.D12;012.D11;0.9800;0.007000;220.7520;0.006860;12;623;6;Skagerrak
012.D21;012.D12;0.0100;0.017000;536.1120;0.000170;12;623;6;Skagerrak
012.D22;012.D21;0.8800;0.007000;220.7520;0.006160;12;623;6;Skagerrak
012.D31;012.D22;38.4600;0.013000;409.9680;0.499980;12;623;6;Skagerrak
012.D32;012.D31;0.3400;0.007000;220.7520;0.002380;12;623;6;Skagerrak
012.D41;012.D32;5.9400;0.007000;220.7520;0.041580;12;623;6;Skagerrak
012.D42;012.D41;6.4200;0.007000;220.7520;0.044940;12;623;6;Skagerrak
012.D51;012.D42;57.1600;0.009000;283.8240;0.514440;12;623;6;Skagerrak
012.D52;012.D51;117.5200;0.012000;378.4320;1.410240;12;626;6;Skagerrak
012.D60;012.D52;31.4700;0.006000;189.2160;0.188820;12;623;6;Skagerrak
012.D6Z;012.D60;114.5300;0.008000;252.2880;0.916240;12;605;6;Skagerrak
012.D71;012.D60;31.2000;0.008000;252.2880;0.249600;12;612;6;Skagerrak
012.D72;012.D71;76.3200;0.008000;252.2880;0.610560;12;605;6;Skagerrak
012.D73;012.D72;40.9800;0.006000;189.2160;0.245880;12;612;6;Skagerrak
012.D81;012.D73;20.2800;0.006000;189.2160;0.121680;12;605;6;Skagerrak
012.D82;012.D81;21.0600;0.006000;189.2160;0.126360;12;605;6;Skagerrak
012.D8A0;012.D82;8.8100;0.006000;189.2160;0.052860;12;605;6;Skagerrak
012.D8AA;012.D8A0;10.5300;0.007000;220.7520;0.073710;12;605;6;Skagerrak
012.D8AB;012.D8AA;7.6500;0.006000;189.2160;0.045900;12;605;6;Skagerrak
012.D8AC;012.D8AB;26.8800;0.009000;283.8240;0.241920;12;605;6;Skagerrak
012.D8B;012.D8A0;27.1700;0.007000;220.7520;0.190190;12;605;6;Skagerrak
012.D9;012.D82;4.6500;0.006000;189.2160;0.027900;12;605;6;Skagerrak
012.DA1;012.D9;5.1800;0.006000;189.2160;0.031080;12;605;6;Skagerrak
012.DA2;012.DA1;4.1900;0.006000;189.2160;0.025140;12;605;6;Skagerrak
012.DA3;012.DA2;5.0300;0.006000;189.2160;0.030180;12;605;6;Skagerrak
012.DA4;012.DA3;7.0500;0.007000;220.7520;0.049350;12;605;6;Skagerrak
012.DA5;012.DA4;19.5400;0.007000;220.7520;0.136780;12;605;6;Skagerrak
012.DA6;012.DA5;5.0200;0.007000;220.7520;0.035140;12;605;6;Skagerrak
012.DA7;012.DA6;9.4500;0.007000;220.7520;0.066150;12;605;6;Skagerrak
012.DA8;012.DA7;10.5300;0.008000;252.2880;0.084240;12;605;6;Skagerrak
012.DAZ;012.DA8;77.0200;0.012000;378.4320;0.924240;12;605;6;Skagerrak
012.DB0;012.DA8;57.3300;0.013000;409.9680;0.745290;12;605;6;Skagerrak
012.DBA1;012.DB0;6.8900;0.013000;409.9680;0.089570;12;605;6;Skagerrak
012.DBA2;012.DBA1;3.4500;0.012000;378.4320;0.041400;12;605;6;Skagerrak
012.DBA3;012.DBA2;0.5300;0.010000;315.3600;0.005300;12;605;6;Skagerrak
012.DBA4;012.DBA3;10.4200;0.015000;473.0400;0.156300;12;605;6;Skagerrak
012.DBA9;012.DBA4;3.5700;0.012000;378.4320;0.042840;12;605;6;Skagerrak
012.DBAZ;012.DBA9;64.8200;0.016000;504.5760;1.037120;12;605;6;Skagerrak
012.DBB;012.DBA9;87.5100;0.015000;473.0400;1.312650;12;605;6;Skagerrak
012.DC1;012.DB0;17.8900;0.012000;378.4320;0.214680;12;605;6;Skagerrak
012.DC2;012.DC1;11.9900;0.013000;409.9680;0.155870;12;605;6;Skagerrak
012.DC31;012.DC2;2.6200;0.012000;378.4320;0.031440;12;605;6;Skagerrak
012.DC32;012.DC31;9.4100;0.015000;473.0400;0.141150;12;605;6;Skagerrak
012.DC3Z;012.DC32;41.3100;0.023000;725.3280;0.950130;12;605;6;Skagerrak
012.DC4;012.DC32;3.5500;0.012000;378.4320;0.042600;12;605;6;Skagerrak
012.DC5;012.DC4;11.9800;0.016000;504.5760;0.191680;12;605;6;Skagerrak
012.DC6;012.DC5;33.0200;0.018000;567.6480;0.594360;12;605;6;Skagerrak
012.DCZ;012.DC6;62.3500;0.025000;788.4000;1.558750;12;605;6;Skagerrak
012.DD;012.DC6;68.4700;0.028000;883.0080;1.917160;12;615;6;Skagerrak
012.E0;012.D9;36.4100;0.006000;189.2160;0.218460;12;605;6;Skagerrak
012.EA1;012.E0;14.0300;0.007000;220.7520;0.098210;12;605;6;Skagerrak
012.EA2;012.EA1;29.9400;0.007000;220.7520;0.209580;12;605;6;Skagerrak
012.EA3;012.EA2;15.0900;0.011000;346.8960;0.165990;12;605;6;Skagerrak
012.EA4;012.EA3;3.1900;0.006000;189.2160;0.019140;12;605;6;Skagerrak
012.EA5;012.EA4;3.2100;0.008000;252.2880;0.025680;12;605;6;Skagerrak
012.EA6;012.EA5;2.0500;0.007000;220.7520;0.014350;12;605;6;Skagerrak
012.EA71;012.EA6;1.2800;0.009000;283.8240;0.011520;12;532;5;Skagerrak
012.EA72;012.EA71;0.1400;0.009000;283.8240;0.001260;12;532;5;Skagerrak
012.EA81;012.EA72;0.2500;0.009000;283.8240;0.002250;12;532;5;Skagerrak
012.EA82;012.EA81;0.2200;0.009000;283.8240;0.001980;12;532;5;Skagerrak
012.EB10;012.EA82;2.0200;0.008000;252.2880;0.016160;12;532;5;Skagerrak
012.EB1A;012.EB10;27.7800;0.016000;504.5760;0.444480;12;605;6;Skagerrak
012.EB1B;012.EB1A;9.9400;0.017000;536.1120;0.168980;12;605;6;Skagerrak
012.EB2;012.EB10;62.8800;0.010000;315.3600;0.628800;12;532;5;Skagerrak
012.EB31;012.EB2;44.7700;0.013000;409.9680;0.582010;12;532;5;Skagerrak
012.EB32;012.EB31;6.6700;0.009000;283.8240;0.060030;12;532;5;Skagerrak
012.EB3Z;012.EB32;35.5000;0.013000;409.9680;0.461500;12;533;5;Skagerrak
012.EB41;012.EB32;37.9300;0.011000;346.8960;0.417230;12;534;5;Skagerrak
012.EB42;012.EB41;3.6700;0.008000;252.2880;0.029360;12;534;5;Skagerrak
012.EB4A1;012.EB42;0.7100;0.010000;315.3600;0.007100;12;534;5;Skagerrak
012.EB4A2;012.EB4A1;1.2900;0.011000;346.8960;0.014190;12;534;5;Skagerrak
012.EB4A3;012.EB4A2;8.6000;0.013000;409.9680;0.111800;12;534;5;Skagerrak
012.EB4A4;012.EB4A3;3.0700;0.011000;346.8960;0.033770;12;534;5;Skagerrak
012.EB4A5;012.EB4A4;1.8100;0.012000;378.4320;0.021720;12;534;5;Skagerrak
012.EB4A6;012.EB4A5;1.6500;0.012000;378.4320;0.019800;12;534;5;Skagerrak
