station_id,station_code,station_name,sample_date,As_µg/l,Cd_µg/l,Cr_µg/l,Cu_µg/l,Ni_µg/l,Pb_µg/l,Zn_µg/l,TOC_mg C/l,pH_
3037,418-1-14,Geittjerna,1995-10-20,0.387,0.04,0.5,0.6,0.6,1.28,6.9,10.1,4.75
3038,418-2-3,Tennungen,1995-10-20,,0.05,0.2,0.6,0.5,0.61,5.4,9.1,5.99
3039,419-1-6,HOH 174,1995-10-20,,,,0.5,0.5,0.09,0.8,9.8,7.17
3040,419-1-23,Svarttjernet,1995-10-20,0.149,,0.1,0.9,0.3,0.24,1.4,5.1,7.08
3041,419-2-8,Igletjernet,1995-10-20,0.207,,0.2,0.6,0.3,0.08,1.4,6.4,6.69
3043,423-1-21,Langtjernet,1995-10-20,0.196,0.02,0.3,0.2,0.4,0.55,3.1,12.5,5.66
3044,423-3-14,Rotnesjøen,1995-10-20,,,0.2,0.4,0.6,0.24,2.5,8.4,6.64
3045,425-1-15,Kalbråtåsjøen,1995-09-20,,0.03,0.2,0.5,0.4,0.58,3.5,9.0,5.74
3046,425-2-10,Steinsjøen,1995-09-20,,,0.2,,0.3,0.14,1.2,6.4,6.83
3047,425-2-25,Knapptjernet,1995-09-20,,,0.3,0.5,0.7,0.24,2.1,9.8,6.69
3049,426-3-1,Vålmangen,1995-09-21,,,0.2,0.4,0.5,2.09,4.7,7.6,6.38
3050,427-3-12,Svenkebekksjøen,1995-09-28,0.216,,0.2,0.6,0.4,0.15,1.7,6.4,6.84
3051,428-2-15,Mjølsjøen,1995-09-20,,,0.1,,0.1,0.11,0.7,3.0,6.94
3053,430-2-1,Setningsjøen,1995-09-20,,,0.1,,0.1,0.05,,0.8,7.0
3054,430-2-16,Gråtjørna,1995-09-20,,,,0.3,,0.07,0.7,2.8,6.61
3055,432-1-2,Langtjørna,1995-09-20,,,,,0.2,0.06,,3.5,7.19
3056,432-1-10,Byringtjørna,1995-09-20,,,,0.3,0.2,0.1,0.6,3.4,6.89
3057,432-1-18,Stortjørna,1995-09-20,,,0.1,0.2,0.2,0.12,0.9,5.1,6.13
3058,432-2-23,Hundtjørna,1995-09-20,,,,,0.1,0.04,,3.8,7.3
3060,432-4-1,Sølensjøen,1995-09-20,,,0.1,,0.2,0.06,0.9,3.2,6.55
3061,432-4-2,Storsjøen,1995-09-20,,,,2.2,0.6,0.04,4.9,2.7,7.21
3062,434-1-11,Abbortjørna,1995-09-20,,,,,,0.07,,2.7,6.26
3063,434-2-4,Store Sorksjøen,1995-09-20,,,,0.3,0.6,0.19,0.9,6.1,6.75
3064,434-2-21,Skjervagen,1995-09-20,,,0.2,,0.1,0.1,0.7,3.9,6.44
3065,434-3-23,Fjellgutusjøen,1995-09-20,,0.03,,0.4,0.3,0.08,0.7,2.9,6.87
3066,434-5-1,Femunden,1995-12-03,,,,0.4,0.4,0.2,1.4,1.9,6.82
3067,436-1-3,Rabbtjørna,1995-11-22,,,,0.4,0.8,0.17,0.9,1.1,7.23
3068,437-1-9,Halvorstjørna,1995-09-20,,,,0.6,0.5,0.09,0.7,8.4,7.46
3069,438-2-19,Søre Klettsjøen,1995-09-20,,,,0.4,0.2,0.16,2.4,2.5,5.78
3070,441-1-12,Storflotjørna,1995-09-20,,,,2.4,0.6,0.2,1.8,3.9,7.84
3071,501-3-9,Mellsjøen,1995-09-20,0.132,,,0.4,0.2,1.1,0.8,3.4,6.72
3072,511-3-15,Vålåsjøen,1995-09-18,,,,0.5,0.5,0.06,0.8,2.2,7.12
3073,512-1-8,Nedre Mølmsvatnet,1995-10-17,,,,,,0.06,,0.2,6.41
3074,512-1-14,Lomtjørni,1995-10-12,,,0.3,0.9,0.7,0.06,0.7,5.3,6.44
3075,512-1-18,HOH 1506,1995-10-11,,,0.1,0.4,0.1,0.09,1.3,0.2,5.88
3076,512-2-23,Rygghøtjørni,1995-10-01,,,,0.3,0.1,,26.3,0.2,6.34
3077,512-3-12,Langvatnet,1995-10-11,,,,,,0.06,0.7,0.28,6.27
3078,513-1-7,HOH 1370,1995-09-17,,,0.2,,0.2,,0.4,0.2,6.03
3079,513-2-5,Grøntjørni,1995-09-17,,,,0.2,,0.15,0.8,0.2,5.99
3080,513-2-15,Kroketjørni,1995-09-17,,,,0.5,,0.08,0.9,0.73,6.27
3081,513-2-27,Styggvatnet,1995-09-17,,0.02,,0.5,,0.17,1.0,0.2,6.04
3082,514-1-1,Urdadalstjørnin,1995-09-18,,,,0.6,0.2,0.13,37.1,0.2,6.07
3083,514-1-10,Sjugurdtindtjørni,1995-09-18,,,,0.3,0.2,0.08,0.4,0.62,6.2
3084,514-1-29,Brangsdalstjørnin,1995-09-17,,0.03,,0.5,0.2,0.16,1.8,1.0,6.68
3085,514-2-26,Panna,1995-09-18,,,,0.7,0.2,0.06,1.1,0.2,6.07
3086,515-1-23,Skytningen,1995-10-01,,,,,,0.06,,4.2,7.72
3087,515-2-1,Tjørnosen,1995-10-01,,,,,,0.05,,1.2,7.28
3088,515-2-24,Birisjøen,1995-10-01,,,,1.1,0.5,0.08,2.0,3.1,7.45
3089,516-2-8,Nedre Sikkilsdalsvatnet,1995-09-18,,,0.1,0.8,0.2,0.11,3.8,1.7,6.84
3090,516-3-36,Store Åkrevatnet,1995-09-18,,,,0.5,,0.41,,1.6,6.9
3091,517-1-16,HOH 1506,1995-09-28,,,,0.4,0.1,0.28,2.5,0.34,5.45
3092,519-1-6,Sprentjørna,1995-09-18,,,0.1,1.3,0.3,0.12,2.2,2.0,6.76
3093,519-2-12,Nordre Vulutjørni,1995-09-20,,,,0.3,0.4,0.06,0.8,0.6,6.53
3094,519-2-29,Vesle Jetningen,1995-09-18,0.203,,0.1,0.6,0.6,0.14,4.4,4.5,7.02
3095,520-1-11,Urdtjern,1995-09-28,,,,0.4,0.3,0.11,0.8,3.0,6.93
3096,520-1-31,Steinslatjørnet,1995-10-13,,,,0.4,0.6,0.15,2.0,2.1,6.78
3097,521-2-14,Tromstjørn,1995-09-20,,,,0.5,0.4,0.13,0.7,6.9,6.95
3098,521-3-5,Lyngen,1995-09-20,,0.02,,0.4,0.3,0.23,1.6,3.4,6.79
3099,522-1-13,Skruvdalstjernet,1995-09-18,,,,0.4,0.2,0.13,1.4,3.6,6.84
3100,522-3-4,Øvre Reinsjøen,1995-09-18,,,,,0.1,0.04,0.3,3.2,6.62
3101,522-3-16,Espedalsvatnet,1995-09-18,,,0.2,1.3,3.6,0.09,9.2,2.3,6.99
3102,528-1-22,Fjælutjern,1995-10-20,0.257,0.04,0.2,0.3,0.5,0.51,6.5,10.6,5.98
3103,528-2-6,Mørksjøen,1995-10-20,,0.03,,1.1,0.3,0.28,5.0,5.1,6.02
3105,532-1-3,Fagervatnet,1995-10-20,,0.02,,0.3,0.4,0.21,5.2,5.5,6.26
3106,533-3-17,Mylla,1995-10-20,,,,0.6,0.7,0.16,2.4,3.2,7.41
3107,534-5-1,Randsfjorden,1995-11-21,,,,0.5,0.6,0.13,1.3,3.6,7.16
3108,536-1-12,Brokslitjernet,1995-09-21,0.168,,0.2,0.2,0.3,0.31,2.3,8.3,6.27
3110,538-1-20,Kolsrudvatnet,1995-09-21,,,,0.3,1.0,0.22,3.6,8.2,6.68
3111,538-2-2,Vangsjøen,1995-09-21,,,,0.4,0.7,0.3,2.7,6.7,6.83
3112,540-2-21,Holmevatnet,1995-09-21,0.157,0.02,,0.3,0.2,0.39,2.8,6.1,6.5
3113,540-2-22,Øyvatnet,1995-09-21,,,,0.5,0.4,0.09,1.6,3.5,6.96
3115,541-2-3,Grannstøltjernet,1995-09-18,0.172,,,0.4,0.4,0.17,2.6,6.0,6.38
3116,542-1-19,Nisetjernet,1995-09-18,,,,0.6,0.2,0.1,1.4,2.6,6.68
